# 
# Duration (in s): 300
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.510949279320009947e+09 1.448000000000000120e-01 2.861499999999999773e+02
1.510949279431638956e+09 1.446999999999999953e-01 2.861499999999999773e+02
1.510949279536263943e+09 1.449000000000000010e-01 2.861499999999999773e+02
1.510949279630537987e+09 1.448000000000000120e-01 2.861499999999999773e+02
1.510949279735296965e+09 1.448000000000000120e-01 2.861499999999999773e+02
1.510949279831424952e+09 1.448000000000000120e-01 2.861499999999999773e+02
1.510949279934278011e+09 1.441000000000000059e-01 2.861499999999999773e+02
1.510949280046340942e+09 1.441999999999999948e-01 2.861499999999999773e+02
1.510949280143583059e+09 1.441000000000000059e-01 2.861600000000000250e+02
1.510949280247355938e+09 1.439999999999999891e-01 2.861600000000000250e+02
1.510949280347053051e+09 1.439000000000000001e-01 2.861499999999999773e+02
1.510949280441267014e+09 1.436999999999999944e-01 2.861600000000000250e+02
1.510949280546103954e+09 1.438000000000000111e-01 2.861600000000000250e+02
1.510949280646130085e+09 1.436000000000000054e-01 2.861600000000000250e+02
1.510949280740536928e+09 1.436000000000000054e-01 2.861600000000000250e+02
1.510949280840293884e+09 1.434999999999999887e-01 2.861600000000000250e+02
1.510949280940284014e+09 1.436999999999999944e-01 2.861600000000000250e+02
1.510949281052879095e+09 1.436999999999999944e-01 2.861600000000000250e+02
1.510949281156496048e+09 1.439000000000000001e-01 2.861600000000000250e+02
1.510949281254888058e+09 1.439999999999999891e-01 2.861600000000000250e+02
1.510949281355725050e+09 1.439999999999999891e-01 2.861600000000000250e+02
1.510949281454788923e+09 1.441000000000000059e-01 2.861600000000000250e+02
1.510949281555270910e+09 1.441999999999999948e-01 2.861600000000000250e+02
1.510949281655035019e+09 1.441999999999999948e-01 2.861600000000000250e+02
1.510949281754714012e+09 1.443000000000000116e-01 2.861600000000000250e+02
1.510949281850975990e+09 1.448000000000000120e-01 2.861600000000000250e+02
1.510949281969136000e+09 1.449000000000000010e-01 2.861600000000000250e+02
1.510949282066858053e+09 1.446000000000000063e-01 2.861600000000000250e+02
1.510949282168235064e+09 1.448000000000000120e-01 2.861600000000000250e+02
1.510949282268250942e+09 1.446999999999999953e-01 2.861600000000000250e+02
1.510949282366740942e+09 1.446999999999999953e-01 2.861600000000000250e+02
1.510949282462189913e+09 1.446999999999999953e-01 2.861600000000000250e+02
1.510949282563385963e+09 1.446000000000000063e-01 2.861700000000000159e+02
1.510949282666011095e+09 1.439999999999999891e-01 2.861700000000000159e+02
1.510949282779902935e+09 1.439999999999999891e-01 2.861700000000000159e+02
1.510949282879970074e+09 1.438000000000000111e-01 2.861700000000000159e+02
1.510949282978986979e+09 1.436000000000000054e-01 2.861700000000000159e+02
1.510949283079078913e+09 1.436999999999999944e-01 2.861700000000000159e+02
1.510949283177917957e+09 1.438000000000000111e-01 2.861700000000000159e+02
1.510949283277995110e+09 1.436999999999999944e-01 2.861700000000000159e+02
1.510949283377933979e+09 1.436999999999999944e-01 2.861700000000000159e+02
1.510949283476942062e+09 1.436000000000000054e-01 2.861700000000000159e+02
1.510949283576965094e+09 1.434999999999999887e-01 2.861700000000000159e+02
1.510949283675950050e+09 1.438000000000000111e-01 2.861700000000000159e+02
1.510949283789889097e+09 1.439999999999999891e-01 2.861700000000000159e+02
1.510949283889981985e+09 1.441000000000000059e-01 2.861700000000000159e+02
1.510949283988981009e+09 1.441000000000000059e-01 2.861700000000000159e+02
1.510949284088037014e+09 1.441999999999999948e-01 2.861700000000000159e+02
1.510949284188884974e+09 1.441999999999999948e-01 2.861700000000000159e+02
1.510949284287827015e+09 1.444000000000000006e-01 2.861700000000000159e+02
1.510949284387608051e+09 1.446000000000000063e-01 2.861700000000000159e+02
1.510949284486295938e+09 1.446000000000000063e-01 2.861700000000000159e+02
1.510949284586597919e+09 1.446999999999999953e-01 2.861700000000000159e+02
1.510949284697767019e+09 1.446999999999999953e-01 2.861700000000000159e+02
1.510949284797534943e+09 1.448000000000000120e-01 2.861700000000000159e+02
1.510949284897294044e+09 1.448000000000000120e-01 2.861700000000000159e+02
