# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.510949649353790045e+09 7.862999999999999989e-01 2.859100000000000250e+02
1.510949649446649075e+09 7.856999999999999540e-01 2.859100000000000250e+02
1.510949649534750938e+09 7.858000000000000540e-01 2.859100000000000250e+02
1.510949649633675098e+09 7.852999999999999980e-01 2.859100000000000250e+02
1.510949649731666088e+09 7.852999999999999980e-01 2.859100000000000250e+02
1.510949649845108986e+09 7.851000000000000201e-01 2.859100000000000250e+02
1.510949649945307016e+09 7.856999999999999540e-01 2.859100000000000250e+02
1.510949650045305967e+09 7.852999999999999980e-01 2.859100000000000250e+02
1.510949650143789053e+09 7.843999999999999861e-01 2.859100000000000250e+02
1.510949650244615078e+09 7.848000000000000531e-01 2.859100000000000250e+02
1.510949650343996048e+09 7.844999999999999751e-01 2.859100000000000250e+02
1.510949650444058895e+09 7.840000000000000302e-01 2.858999999999999773e+02
1.510949650543792963e+09 7.844999999999999751e-01 2.859100000000000250e+02
1.510949650643675089e+09 7.845999999999999641e-01 2.859100000000000250e+02
1.510949650755568027e+09 7.853999999999999870e-01 2.859100000000000250e+02
1.510949650859838009e+09 7.849000000000000421e-01 2.859100000000000250e+02
1.510949650958758116e+09 7.849000000000000421e-01 2.859100000000000250e+02
1.510949651059175968e+09 7.854999999999999760e-01 2.859100000000000250e+02
1.510949651157465935e+09 7.852999999999999980e-01 2.859100000000000250e+02
1.510949651258018017e+09 7.853999999999999870e-01 2.859100000000000250e+02
1.510949651357975960e+09 7.852000000000000091e-01 2.859100000000000250e+02
1.510949651458003998e+09 7.860000000000000320e-01 2.859100000000000250e+02
1.510949651570913076e+09 7.861000000000000210e-01 2.859100000000000250e+02
1.510949651670957088e+09 7.860000000000000320e-01 2.859100000000000250e+02
1.510949651770997047e+09 7.852000000000000091e-01 2.859100000000000250e+02
