# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.510950497602947950e+09 7.866999999999999549e-01 2.863399999999999750e+02
1.510950497724323034e+09 7.862999999999999989e-01 2.863399999999999750e+02
1.510950497824343920e+09 7.863999999999999879e-01 2.863399999999999750e+02
1.510950497920450926e+09 7.865999999999999659e-01 2.863399999999999750e+02
1.510950498019387960e+09 7.863999999999999879e-01 2.863399999999999750e+02
1.510950498123209000e+09 7.862000000000000099e-01 2.863399999999999750e+02
1.510950498222301006e+09 7.865999999999999659e-01 2.863399999999999750e+02
1.510950498322412968e+09 7.859000000000000430e-01 2.863399999999999750e+02
1.510950498436135054e+09 7.860000000000000320e-01 2.863399999999999750e+02
1.510950498535182953e+09 7.866999999999999549e-01 2.863399999999999750e+02
1.510950498635369062e+09 7.864999999999999769e-01 2.863399999999999750e+02
1.510950498734163046e+09 7.861000000000000210e-01 2.863399999999999750e+02
1.510950498834189892e+09 7.854999999999999760e-01 2.863399999999999750e+02
1.510950498934168100e+09 7.855999999999999650e-01 2.863399999999999750e+02
1.510950499033214092e+09 7.850000000000000311e-01 2.863399999999999750e+02
1.510950499133042097e+09 7.849000000000000421e-01 2.863399999999999750e+02
1.510950499247266054e+09 7.851000000000000201e-01 2.863399999999999750e+02
1.510950499346154928e+09 7.856999999999999540e-01 2.863399999999999750e+02
1.510950499445985079e+09 7.852999999999999980e-01 2.863399999999999750e+02
1.510950499540461063e+09 7.854999999999999760e-01 2.863399999999999750e+02
1.510950499645169020e+09 7.852999999999999980e-01 2.863399999999999750e+02
1.510950499745157957e+09 7.850000000000000311e-01 2.863399999999999750e+02
1.510950499839764118e+09 7.848000000000000531e-01 2.863299999999999841e+02
1.510950499939517975e+09 7.862000000000000099e-01 2.863299999999999841e+02
1.510950500055903912e+09 7.865999999999999659e-01 2.863399999999999750e+02
1.510950500155637980e+09 7.858000000000000540e-01 2.863399999999999750e+02
1.510950500255402088e+09 7.864999999999999769e-01 2.863399999999999750e+02
1.510950500355216980e+09 7.862999999999999989e-01 2.863299999999999841e+02
1.510950500454992056e+09 7.862999999999999989e-01 2.863299999999999841e+02
1.510950500554677010e+09 7.863999999999999879e-01 2.863299999999999841e+02
1.510950500654501915e+09 7.863999999999999879e-01 2.863299999999999841e+02
1.510950500754157066e+09 7.862000000000000099e-01 2.863299999999999841e+02
1.510950500869044065e+09 7.856999999999999540e-01 2.863299999999999841e+02
1.510950500968059063e+09 7.859000000000000430e-01 2.863299999999999841e+02
1.510950501067794085e+09 7.861000000000000210e-01 2.863299999999999841e+02
1.510950501167013884e+09 7.856999999999999540e-01 2.863299999999999841e+02
1.510950501267100096e+09 7.859000000000000430e-01 2.863299999999999841e+02
1.510950501367094040e+09 7.856999999999999540e-01 2.863299999999999841e+02
1.510950501466064930e+09 7.853999999999999870e-01 2.863299999999999841e+02
1.510950501561100960e+09 7.852999999999999980e-01 2.863299999999999841e+02
1.510950501664999008e+09 7.859000000000000430e-01 2.863299999999999841e+02
1.510950501763221025e+09 7.854999999999999760e-01 2.863299999999999841e+02
1.510950501879065037e+09 7.852000000000000091e-01 2.863299999999999841e+02
1.510950501978038073e+09 7.855999999999999650e-01 2.863299999999999841e+02
1.510950502077927113e+09 7.850000000000000311e-01 2.863299999999999841e+02
1.510950502177917957e+09 7.851000000000000201e-01 2.863299999999999841e+02
1.510950502276915073e+09 7.861000000000000210e-01 2.863299999999999841e+02
1.510950502376991987e+09 7.854999999999999760e-01 2.863299999999999841e+02
1.510950502475967884e+09 7.854999999999999760e-01 2.863299999999999841e+02
1.510950502575865984e+09 7.856999999999999540e-01 2.863299999999999841e+02
1.510950502676019907e+09 7.862000000000000099e-01 2.863299999999999841e+02
1.510950502774914980e+09 7.860000000000000320e-01 2.863299999999999841e+02
1.510950502888890028e+09 7.862999999999999989e-01 2.863299999999999841e+02
1.510950502988950968e+09 7.864999999999999769e-01 2.863299999999999841e+02
1.510950503083180904e+09 7.863999999999999879e-01 2.863299999999999841e+02
1.510950503188256025e+09 7.858000000000000540e-01 2.863299999999999841e+02
1.510950503287837982e+09 7.866999999999999549e-01 2.863299999999999841e+02
1.510950503386940002e+09 7.864999999999999769e-01 2.863299999999999841e+02
1.510950503486769915e+09 7.858000000000000540e-01 2.863199999999999932e+02
1.510950503585814953e+09 7.856999999999999540e-01 2.863299999999999841e+02
1.510950503685898066e+09 7.851000000000000201e-01 2.863299999999999841e+02
1.510950503797029972e+09 7.860000000000000320e-01 2.863299999999999841e+02
1.510950503894411087e+09 7.853999999999999870e-01 2.863199999999999932e+02
1.510950503995429039e+09 7.852000000000000091e-01 2.863199999999999932e+02
1.510950504096259117e+09 7.852000000000000091e-01 2.863299999999999841e+02
1.510950504196024895e+09 7.855999999999999650e-01 2.863299999999999841e+02
1.510950504295774937e+09 7.852000000000000091e-01 2.863199999999999932e+02
1.510950504395570040e+09 7.851000000000000201e-01 2.863199999999999932e+02
1.510950504495368958e+09 7.852000000000000091e-01 2.863299999999999841e+02
1.510950504595078945e+09 7.852000000000000091e-01 2.863299999999999841e+02
1.510950504709638119e+09 7.855999999999999650e-01 2.863299999999999841e+02
1.510950504809731007e+09 7.859000000000000430e-01 2.863199999999999932e+02
1.510950504909781933e+09 7.851000000000000201e-01 2.863199999999999932e+02
1.510950505008800030e+09 7.848000000000000531e-01 2.863199999999999932e+02
1.510950505108839989e+09 7.851000000000000201e-01 2.863199999999999932e+02
1.510950505207742929e+09 7.858000000000000540e-01 2.863299999999999841e+02
1.510950505304157019e+09 7.866999999999999549e-01 2.863199999999999932e+02
1.510950505406038046e+09 7.859000000000000430e-01 2.863199999999999932e+02
1.510950505506803989e+09 7.870000000000000329e-01 2.863299999999999841e+02
1.510950505620508909e+09 7.869000000000000439e-01 2.863299999999999841e+02
