# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.510950764908303022e+09 1.439999999999999891e-01 2.856800000000000068e+02
1.510950765030528069e+09 1.439999999999999891e-01 2.856800000000000068e+02
1.510950765130656958e+09 1.441999999999999948e-01 2.856800000000000068e+02
1.510950765230511904e+09 1.441000000000000059e-01 2.856800000000000068e+02
1.510950765324681997e+09 1.441999999999999948e-01 2.856800000000000068e+02
1.510950765429564953e+09 1.438000000000000111e-01 2.856800000000000068e+02
1.510950765540844917e+09 1.436999999999999944e-01 2.856800000000000068e+02
1.510950765640654087e+09 1.436999999999999944e-01 2.856899999999999977e+02
1.510950765740375996e+09 1.436999999999999944e-01 2.856899999999999977e+02
1.510950765840131998e+09 1.436000000000000054e-01 2.856800000000000068e+02
1.510950765939901114e+09 1.433000000000000107e-01 2.856800000000000068e+02
1.510950766039671898e+09 1.433000000000000107e-01 2.856800000000000068e+02
1.510950766139427900e+09 1.433000000000000107e-01 2.856899999999999977e+02
1.510950766239218950e+09 1.431999999999999940e-01 2.856899999999999977e+02
1.510950766338948011e+09 1.429999999999999882e-01 2.856899999999999977e+02
1.510950766438719988e+09 1.431000000000000050e-01 2.856899999999999977e+02
1.510950766553520918e+09 1.429999999999999882e-01 2.856899999999999977e+02
1.510950766652513027e+09 1.431999999999999940e-01 2.856899999999999977e+02
1.510950766752504110e+09 1.431000000000000050e-01 2.856899999999999977e+02
1.510950766852474928e+09 1.433000000000000107e-01 2.856899999999999977e+02
1.510950766952054024e+09 1.433000000000000107e-01 2.856899999999999977e+02
1.510950767051249981e+09 1.433999999999999997e-01 2.856899999999999977e+02
1.510950767150470972e+09 1.434999999999999887e-01 2.856899999999999977e+02
1.510950767250410080e+09 1.441999999999999948e-01 2.856999999999999886e+02
1.510950767359368086e+09 1.441000000000000059e-01 2.856899999999999977e+02
1.510950767463120937e+09 1.441000000000000059e-01 2.856899999999999977e+02
1.510950767558583975e+09 1.441999999999999948e-01 2.856999999999999886e+02
1.510950767663220882e+09 1.441999999999999948e-01 2.856999999999999886e+02
1.510950767762306929e+09 1.443000000000000116e-01 2.856999999999999886e+02
1.510950767862256050e+09 1.441000000000000059e-01 2.856999999999999886e+02
1.510950767961436033e+09 1.441000000000000059e-01 2.856999999999999886e+02
1.510950768060384989e+09 1.439999999999999891e-01 2.856999999999999886e+02
1.510950768161885023e+09 1.434999999999999887e-01 2.856999999999999886e+02
1.510950768274193048e+09 1.433999999999999997e-01 2.856999999999999886e+02
1.510950768374340057e+09 1.433999999999999997e-01 2.856999999999999886e+02
1.510950768474694014e+09 1.431999999999999940e-01 2.856999999999999886e+02
1.510950768573352098e+09 1.431000000000000050e-01 2.856999999999999886e+02
1.510950768673077106e+09 1.431999999999999940e-01 2.856999999999999886e+02
1.510950768771070004e+09 1.431000000000000050e-01 2.856999999999999886e+02
1.510950768872112036e+09 1.428999999999999992e-01 2.856999999999999886e+02
1.510950768972395897e+09 1.428000000000000103e-01 2.857099999999999795e+02
1.510950769066603899e+09 1.431000000000000050e-01 2.857099999999999795e+02
1.510950769182351112e+09 1.431000000000000050e-01 2.857099999999999795e+02
1.510950769281945944e+09 1.433000000000000107e-01 2.857099999999999795e+02
1.510950769381921053e+09 1.433999999999999997e-01 2.857099999999999795e+02
1.510950769480875015e+09 1.433999999999999997e-01 2.857099999999999795e+02
1.510950769579233885e+09 1.434999999999999887e-01 2.857099999999999795e+02
1.510950769680988073e+09 1.436000000000000054e-01 2.857099999999999795e+02
1.510950769778305054e+09 1.436999999999999944e-01 2.857099999999999795e+02
1.510950769880494118e+09 1.441999999999999948e-01 2.857099999999999795e+02
1.510950769993733883e+09 1.441000000000000059e-01 2.857099999999999795e+02
1.510950770096307039e+09 1.441999999999999948e-01 2.857099999999999795e+02
1.510950770191154003e+09 1.441999999999999948e-01 2.857099999999999795e+02
1.510950770295217037e+09 1.441999999999999948e-01 2.857099999999999795e+02
1.510950770395220995e+09 1.439999999999999891e-01 2.857099999999999795e+02
1.510950770490741968e+09 1.439999999999999891e-01 2.857099999999999795e+02
1.510950770594279051e+09 1.441000000000000059e-01 2.857099999999999795e+02
1.510950770693202019e+09 1.439999999999999891e-01 2.857099999999999795e+02
1.510950770792949915e+09 1.433000000000000107e-01 2.857099999999999795e+02
1.510950770907485962e+09 1.431999999999999940e-01 2.857099999999999795e+02
1.510950771006851912e+09 1.431999999999999940e-01 2.857200000000000273e+02
1.510950771106374979e+09 1.431000000000000050e-01 2.857200000000000273e+02
1.510950771206288099e+09 1.431000000000000050e-01 2.857200000000000273e+02
1.510950771300513983e+09 1.429999999999999882e-01 2.857200000000000273e+02
1.510950771400276899e+09 1.428999999999999992e-01 2.857200000000000273e+02
1.510950771504121065e+09 1.428999999999999992e-01 2.857200000000000273e+02
1.510950771604043007e+09 1.433000000000000107e-01 2.857200000000000273e+02
1.510950771718154907e+09 1.433999999999999997e-01 2.857200000000000273e+02
1.510950771817056894e+09 1.433999999999999997e-01 2.857200000000000273e+02
1.510950771917134047e+09 1.434999999999999887e-01 2.857200000000000273e+02
1.510950772017157078e+09 1.434999999999999887e-01 2.857200000000000273e+02
1.510950772116103888e+09 1.436999999999999944e-01 2.857200000000000273e+02
1.510950772216078043e+09 1.436999999999999944e-01 2.857200000000000273e+02
1.510950772315023899e+09 1.439000000000000001e-01 2.857200000000000273e+02
1.510950772415080070e+09 1.438000000000000111e-01 2.857200000000000273e+02
1.510950772515050888e+09 1.439999999999999891e-01 2.857200000000000273e+02
1.510950772614147902e+09 1.441999999999999948e-01 2.857200000000000273e+02
1.510950772723769903e+09 1.441999999999999948e-01 2.857200000000000273e+02
1.510950772823259115e+09 1.439999999999999891e-01 2.857200000000000273e+02
1.510950772923294067e+09 1.439000000000000001e-01 2.857200000000000273e+02
1.510950773023109913e+09 1.439000000000000001e-01 2.857200000000000273e+02
1.510950773122818947e+09 1.439000000000000001e-01 2.857200000000000273e+02
1.510950773222395897e+09 1.438000000000000111e-01 2.857200000000000273e+02
1.510950773322372913e+09 1.436999999999999944e-01 2.857200000000000273e+02
1.510950773422076941e+09 1.434999999999999887e-01 2.857200000000000273e+02
1.510950773521842003e+09 1.433999999999999997e-01 2.857200000000000273e+02
1.510950773621608019e+09 1.429999999999999882e-01 2.857200000000000273e+02
1.510950773738002062e+09 1.429999999999999882e-01 2.857300000000000182e+02
