# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.510951442753798008e+09 7.761000000000000121e-01 2.857400000000000091e+02
1.510951442844796896e+09 7.765999999999999570e-01 2.857400000000000091e+02
1.510951442929022074e+09 7.766999999999999460e-01 2.857400000000000091e+02
1.510951443028781891e+09 7.763999999999999790e-01 2.857400000000000091e+02
1.510951443142729998e+09 7.758000000000000451e-01 2.857300000000000182e+02
1.510951443242708921e+09 7.762000000000000011e-01 2.857300000000000182e+02
1.510951443342689991e+09 7.761000000000000121e-01 2.857400000000000091e+02
1.510951443441669941e+09 7.765999999999999570e-01 2.857400000000000091e+02
1.510951443541701078e+09 7.760000000000000231e-01 2.857400000000000091e+02
1.510951443640640974e+09 7.756999999999999451e-01 2.857400000000000091e+02
1.510951443740741014e+09 7.769000000000000350e-01 2.857300000000000182e+02
1.510951443837136984e+09 7.764999999999999680e-01 2.857300000000000182e+02
1.510951443939604998e+09 7.770000000000000240e-01 2.857400000000000091e+02
1.510951444053524971e+09 7.766999999999999460e-01 2.857400000000000091e+02
1.510951444153696060e+09 7.768000000000000460e-01 2.857400000000000091e+02
1.510951444252671957e+09 7.768000000000000460e-01 2.857400000000000091e+02
1.510951444352653980e+09 7.766999999999999460e-01 2.857400000000000091e+02
1.510951444450479031e+09 7.778000000000000469e-01 2.857400000000000091e+02
1.510951444551789045e+09 7.782000000000000028e-01 2.857400000000000091e+02
1.510951444650671005e+09 7.772000000000000020e-01 2.857400000000000091e+02
1.510951444750818968e+09 7.770000000000000240e-01 2.857400000000000091e+02
1.510951444861128092e+09 7.761000000000000121e-01 2.857400000000000091e+02
1.510951444963625908e+09 7.758000000000000451e-01 2.857400000000000091e+02
1.510951445063522100e+09 7.771000000000000130e-01 2.857400000000000091e+02
1.510951445163577080e+09 7.768000000000000460e-01 2.857400000000000091e+02
1.510951445262542009e+09 7.766999999999999460e-01 2.857400000000000091e+02
1.510951445362327099e+09 7.762999999999999901e-01 2.857400000000000091e+02
1.510951445462574959e+09 7.762999999999999901e-01 2.857400000000000091e+02
1.510951445561621904e+09 7.754999999999999671e-01 2.857400000000000091e+02
1.510951445661492109e+09 7.753999999999999782e-01 2.857400000000000091e+02
