# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.510951501346194983e+09 1.426000000000000045e-01 2.855899999999999750e+02
1.510951501433096886e+09 1.424999999999999878e-01 2.855899999999999750e+02
1.510951501533103943e+09 1.421999999999999931e-01 2.855899999999999750e+02
1.510951501632271051e+09 1.421999999999999931e-01 2.855899999999999750e+02
1.510951501732069969e+09 1.421999999999999931e-01 2.855899999999999750e+02
1.510951501830955029e+09 1.419999999999999873e-01 2.855899999999999750e+02
1.510951501930927992e+09 1.418999999999999984e-01 2.855899999999999750e+02
1.510951502031069994e+09 1.414999999999999869e-01 2.855899999999999750e+02
1.510951502143922091e+09 1.414999999999999869e-01 2.855899999999999750e+02
1.510951502239165068e+09 1.414999999999999869e-01 2.855899999999999750e+02
1.510951502344100952e+09 1.414999999999999869e-01 2.855899999999999750e+02
1.510951502437938929e+09 1.414999999999999869e-01 2.855899999999999750e+02
1.510951502542848110e+09 1.414999999999999869e-01 2.855899999999999750e+02
1.510951502637015104e+09 1.416000000000000036e-01 2.855799999999999841e+02
1.510951502737215042e+09 1.416000000000000036e-01 2.855899999999999750e+02
1.510951502837054014e+09 1.416999999999999926e-01 2.855899999999999750e+02
1.510951502940016985e+09 1.423999999999999988e-01 2.855899999999999750e+02
1.510951503052670002e+09 1.423999999999999988e-01 2.855799999999999841e+02
1.510951503149816990e+09 1.423999999999999988e-01 2.855799999999999841e+02
1.510951503251861095e+09 1.426000000000000045e-01 2.855799999999999841e+02
1.510951503349575043e+09 1.426999999999999935e-01 2.855799999999999841e+02
1.510951503449436903e+09 1.426000000000000045e-01 2.855799999999999841e+02
1.510951503551942110e+09 1.426000000000000045e-01 2.855799999999999841e+02
1.510951503651245117e+09 1.426000000000000045e-01 2.855799999999999841e+02
1.510951503749125004e+09 1.424999999999999878e-01 2.855699999999999932e+02
1.510951503865866899e+09 1.423000000000000098e-01 2.855699999999999932e+02
1.510951503966110945e+09 1.423000000000000098e-01 2.855699999999999932e+02
1.510951504064899921e+09 1.421999999999999931e-01 2.855699999999999932e+02
1.510951504164803028e+09 1.421000000000000041e-01 2.855699999999999932e+02
1.510951504264839888e+09 1.419999999999999873e-01 2.855699999999999932e+02
1.510951504358570099e+09 1.418999999999999984e-01 2.855699999999999932e+02
1.510951504463641882e+09 1.418999999999999984e-01 2.855699999999999932e+02
1.510951504562892914e+09 1.418000000000000094e-01 2.855699999999999932e+02
1.510951504662795067e+09 1.416000000000000036e-01 2.855699999999999932e+02
1.510951504776752949e+09 1.414999999999999869e-01 2.855699999999999932e+02
1.510951504870904922e+09 1.414999999999999869e-01 2.855699999999999932e+02
1.510951504975042105e+09 1.416999999999999926e-01 2.855699999999999932e+02
1.510951505070713043e+09 1.416999999999999926e-01 2.855699999999999932e+02
1.510951505174623013e+09 1.418000000000000094e-01 2.855699999999999932e+02
1.510951505269908905e+09 1.418000000000000094e-01 2.855699999999999932e+02
1.510951505374103069e+09 1.418000000000000094e-01 2.855699999999999932e+02
1.510951505473685980e+09 1.424999999999999878e-01 2.855699999999999932e+02
1.510951505582871914e+09 1.426000000000000045e-01 2.855600000000000023e+02
1.510951505686758041e+09 1.426000000000000045e-01 2.855600000000000023e+02
1.510951505786689997e+09 1.426999999999999935e-01 2.855600000000000023e+02
1.510951505886733055e+09 1.426000000000000045e-01 2.855600000000000023e+02
1.510951505985579014e+09 1.426999999999999935e-01 2.855600000000000023e+02
1.510951506085694075e+09 1.428000000000000103e-01 2.855600000000000023e+02
1.510951506184611082e+09 1.426999999999999935e-01 2.855600000000000023e+02
1.510951506281374931e+09 1.428000000000000103e-01 2.855600000000000023e+02
1.510951506383043051e+09 1.421000000000000041e-01 2.855600000000000023e+02
1.510951506494457006e+09 1.421000000000000041e-01 2.855600000000000023e+02
1.510951506594218016e+09 1.419999999999999873e-01 2.855500000000000114e+02
1.510951506693996906e+09 1.418999999999999984e-01 2.855500000000000114e+02
