# 
# Duration (in s): 300
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.510951670062777996e+09 9.428999999999999604e-01 2.853500000000000227e+02
1.510951670185369968e+09 9.429999999999999494e-01 2.853500000000000227e+02
1.510951670285444021e+09 9.434000000000000163e-01 2.853500000000000227e+02
1.510951670385354996e+09 9.439999999999999503e-01 2.853500000000000227e+02
1.510951670480379105e+09 9.426999999999999824e-01 2.853500000000000227e+02
1.510951670584232092e+09 9.435999999999999943e-01 2.853500000000000227e+02
1.510951670683285952e+09 9.443000000000000282e-01 2.853600000000000136e+02
1.510951670797339916e+09 9.442000000000000393e-01 2.853500000000000227e+02
1.510951670892134905e+09 9.441000000000000503e-01 2.853500000000000227e+02
1.510951670991805077e+09 9.445000000000000062e-01 2.853500000000000227e+02
1.510951671096299887e+09 9.448999999999999622e-01 2.853600000000000136e+02
1.510951671196470022e+09 9.453000000000000291e-01 2.853600000000000136e+02
1.510951671295257092e+09 9.442000000000000393e-01 2.853600000000000136e+02
1.510951671395308971e+09 9.445000000000000062e-01 2.853600000000000136e+02
1.510951671494226933e+09 9.445999999999999952e-01 2.853600000000000136e+02
1.510951671608298063e+09 9.446999999999999842e-01 2.853600000000000136e+02
1.510951671706866980e+09 9.443000000000000282e-01 2.853600000000000136e+02
1.510951671807389975e+09 9.441000000000000503e-01 2.853600000000000136e+02
1.510951671907067060e+09 9.442000000000000393e-01 2.853600000000000136e+02
1.510951672007400990e+09 9.435000000000000053e-01 2.853600000000000136e+02
1.510951672106143951e+09 9.454000000000000181e-01 2.853600000000000136e+02
1.510951672206312895e+09 9.433000000000000274e-01 2.853600000000000136e+02
1.510951672305399895e+09 9.434000000000000163e-01 2.853600000000000136e+02
1.510951672405069113e+09 9.434000000000000163e-01 2.853600000000000136e+02
1.510951672515235901e+09 9.426999999999999824e-01 2.853700000000000045e+02
1.510951672615854025e+09 9.435000000000000053e-01 2.853600000000000136e+02
1.510951672715616941e+09 9.431000000000000494e-01 2.853600000000000136e+02
1.510951672815377951e+09 9.429999999999999494e-01 2.853700000000000045e+02
1.510951672915174961e+09 9.432000000000000384e-01 2.853600000000000136e+02
1.510951673015014887e+09 9.433000000000000274e-01 2.853600000000000136e+02
1.510951673114675045e+09 9.443000000000000282e-01 2.853700000000000045e+02
1.510951673214464903e+09 9.439999999999999503e-01 2.853700000000000045e+02
1.510951673325438976e+09 9.447999999999999732e-01 2.853700000000000045e+02
1.510951673429213047e+09 9.439999999999999503e-01 2.853700000000000045e+02
1.510951673529310942e+09 9.445999999999999952e-01 2.853700000000000045e+02
1.510951673629266977e+09 9.439999999999999503e-01 2.853700000000000045e+02
1.510951673725766897e+09 9.448999999999999622e-01 2.853700000000000045e+02
1.510951673828167915e+09 9.445000000000000062e-01 2.853700000000000045e+02
1.510951673926960945e+09 9.446999999999999842e-01 2.853700000000000045e+02
1.510951674027390957e+09 9.453000000000000291e-01 2.853700000000000045e+02
1.510951674136461020e+09 9.445000000000000062e-01 2.853700000000000045e+02
1.510951674234800100e+09 9.438999999999999613e-01 2.853700000000000045e+02
1.510951674340075970e+09 9.448999999999999622e-01 2.853700000000000045e+02
1.510951674435662985e+09 9.443000000000000282e-01 2.853700000000000045e+02
1.510951674538954973e+09 9.436999999999999833e-01 2.853700000000000045e+02
1.510951674633903980e+09 9.443000000000000282e-01 2.853700000000000045e+02
1.510951674738014936e+09 9.436999999999999833e-01 2.853700000000000045e+02
1.510951674837704897e+09 9.438999999999999613e-01 2.853799999999999955e+02
1.510951674934993029e+09 9.435999999999999943e-01 2.853799999999999955e+02
1.510951675036859989e+09 9.442000000000000393e-01 2.853799999999999955e+02
1.510951675131787062e+09 9.426999999999999824e-01 2.853799999999999955e+02
1.510951675246330976e+09 9.436999999999999833e-01 2.853799999999999955e+02
1.510951675344765902e+09 9.435000000000000053e-01 2.853799999999999955e+02
1.510951675446374893e+09 9.441000000000000503e-01 2.853799999999999955e+02
1.510951675548976898e+09 9.432000000000000384e-01 2.853799999999999955e+02
1.510951675649072886e+09 9.429999999999999494e-01 2.853799999999999955e+02
1.510951675748910904e+09 9.435999999999999943e-01 2.853799999999999955e+02
1.510951675848927975e+09 9.442000000000000393e-01 2.853799999999999955e+02
1.510951675947829008e+09 9.449999999999999512e-01 2.853799999999999955e+02
1.510951676048190117e+09 9.436999999999999833e-01 2.853799999999999955e+02
1.510951676147094011e+09 9.445000000000000062e-01 2.853799999999999955e+02
1.510951676256942034e+09 9.444000000000000172e-01 2.853799999999999955e+02
1.510951676356935024e+09 9.448999999999999622e-01 2.853799999999999955e+02
1.510951676454703093e+09 9.454000000000000181e-01 2.853799999999999955e+02
1.510951676556961060e+09 9.448999999999999622e-01 2.853799999999999955e+02
1.510951676656230927e+09 9.451000000000000512e-01 2.853799999999999955e+02
1.510951676756283045e+09 9.453000000000000291e-01 2.853899999999999864e+02
1.510951676855762959e+09 9.445999999999999952e-01 2.853899999999999864e+02
