# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.492192483174994946e+09 6.555999999999999606e-01 2.972500000000000000e+02
1.492192483268008947e+09 6.560000000000000275e-01 2.972500000000000000e+02
1.492192483367995024e+09 6.561000000000000165e-01 2.972500000000000000e+02
1.492192483482289076e+09 6.561000000000000165e-01 2.972500000000000000e+02
1.492192483582370996e+09 6.564999999999999725e-01 2.972500000000000000e+02
1.492192483682250977e+09 6.569000000000000394e-01 2.972500000000000000e+02
1.492192483781424046e+09 6.566999999999999504e-01 2.972500000000000000e+02
1.492192483881402969e+09 6.559000000000000385e-01 2.972500000000000000e+02
1.492192483981240034e+09 6.558000000000000496e-01 2.972599999999999909e+02
1.492192484080416918e+09 6.560000000000000275e-01 2.972599999999999909e+02
1.492192484180236101e+09 6.561000000000000165e-01 2.972599999999999909e+02
1.492192484280154943e+09 6.560000000000000275e-01 2.972599999999999909e+02
1.492192484379245043e+09 6.559000000000000385e-01 2.972599999999999909e+02
1.492192484493166924e+09 6.559000000000000385e-01 2.972599999999999909e+02
1.492192484593142986e+09 6.564999999999999725e-01 2.972699999999999818e+02
1.492192484692020893e+09 6.556999999999999496e-01 2.972699999999999818e+02
1.492192484792035103e+09 6.560000000000000275e-01 2.972699999999999818e+02
1.492192484892194033e+09 6.556999999999999496e-01 2.972699999999999818e+02
1.492192484991053104e+09 6.563999999999999835e-01 2.972699999999999818e+02
1.492192485090126038e+09 6.552999999999999936e-01 2.972699999999999818e+02
1.492192485191135883e+09 6.554999999999999716e-01 2.972699999999999818e+02
1.492192485305243015e+09 6.563999999999999835e-01 2.972699999999999818e+02
1.492192485403966904e+09 6.562999999999999945e-01 2.972599999999999909e+02
1.492192485502892971e+09 6.560000000000000275e-01 2.972599999999999909e+02
1.492192485604043961e+09 6.562000000000000055e-01 2.972599999999999909e+02
1.492192485702879906e+09 6.553999999999999826e-01 2.972599999999999909e+02
1.492192485801815987e+09 6.562999999999999945e-01 2.972500000000000000e+02
1.492192485902589083e+09 6.563999999999999835e-01 2.972500000000000000e+02
1.492192486002055883e+09 6.562999999999999945e-01 2.972500000000000000e+02
1.492192486116133928e+09 6.549000000000000377e-01 2.972500000000000000e+02
1.492192486215929985e+09 6.553999999999999826e-01 2.972500000000000000e+02
1.492192486313817978e+09 6.556999999999999496e-01 2.972500000000000000e+02
1.492192486413935900e+09 6.562999999999999945e-01 2.972400000000000091e+02
1.492192486513761044e+09 6.562999999999999945e-01 2.972400000000000091e+02
1.492192486613609076e+09 6.562999999999999945e-01 2.972400000000000091e+02
1.492192486712826967e+09 6.561000000000000165e-01 2.972400000000000091e+02
1.492192486813874006e+09 6.553999999999999826e-01 2.972400000000000091e+02
1.492192486913089991e+09 6.558000000000000496e-01 2.972400000000000091e+02
1.492192487025758028e+09 6.565999999999999615e-01 2.972400000000000091e+02
1.492192487125838995e+09 6.560000000000000275e-01 2.972400000000000091e+02
1.492192487226891041e+09 6.564999999999999725e-01 2.972400000000000091e+02
1.492192487325984001e+09 6.561000000000000165e-01 2.972400000000000091e+02
1.492192487424721956e+09 6.562999999999999945e-01 2.972400000000000091e+02
1.492192487524543047e+09 6.554999999999999716e-01 2.972400000000000091e+02
1.492192487624726057e+09 6.562999999999999945e-01 2.972400000000000091e+02
