# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: 
1.492192579895196915e+09 1.265000000000000013e-01 2.965799999999999841e+02
1.492192580016551971e+09 1.265999999999999903e-01 2.965799999999999841e+02
1.492192580116374969e+09 1.265000000000000013e-01 2.965799999999999841e+02
1.492192580216370106e+09 1.265999999999999903e-01 2.965899999999999750e+02
1.492192580315520048e+09 1.265000000000000013e-01 2.965899999999999750e+02
1.492192580415496111e+09 1.267000000000000071e-01 2.965899999999999750e+02
1.492192580515645981e+09 1.265999999999999903e-01 2.965799999999999841e+02
1.492192580614383936e+09 1.267000000000000071e-01 2.965899999999999750e+02
1.492192580714366913e+09 1.267999999999999960e-01 2.965899999999999750e+02
1.492192580812916994e+09 1.267999999999999960e-01 2.966000000000000227e+02
1.492192580913511992e+09 1.265999999999999903e-01 2.966100000000000136e+02
1.492192581027132034e+09 1.265000000000000013e-01 2.966200000000000045e+02
1.492192581127475023e+09 1.265000000000000013e-01 2.966200000000000045e+02
1.492192581227335930e+09 1.264000000000000123e-01 2.966299999999999955e+02
1.492192581326344013e+09 1.265000000000000013e-01 2.966299999999999955e+02
1.492192581426031113e+09 1.262999999999999956e-01 2.966299999999999955e+02
1.492192581526329041e+09 1.264000000000000123e-01 2.966399999999999864e+02
1.492192581625365973e+09 1.265999999999999903e-01 2.966499999999999773e+02
1.492192581725219965e+09 1.265000000000000013e-01 2.966499999999999773e+02
1.492192581825095892e+09 1.265000000000000013e-01 2.966600000000000250e+02
1.492192581937745094e+09 1.265000000000000013e-01 2.966600000000000250e+02
1.492192582037431002e+09 1.264000000000000123e-01 2.966700000000000159e+02
1.492192582137268066e+09 1.262999999999999956e-01 2.966700000000000159e+02
1.492192582237029076e+09 1.264000000000000123e-01 2.966700000000000159e+02
1.492192582336802959e+09 1.264000000000000123e-01 2.966700000000000159e+02
1.492192582436569929e+09 1.264000000000000123e-01 2.966700000000000159e+02
1.492192582536247969e+09 1.262999999999999956e-01 2.966800000000000068e+02
1.492192582636097908e+09 1.267000000000000071e-01 2.966800000000000068e+02
1.492192582750407934e+09 1.265000000000000013e-01 2.966899999999999977e+02
1.492192582850188017e+09 1.265999999999999903e-01 2.966899999999999977e+02
1.492192582949281931e+09 1.267000000000000071e-01 2.966999999999999886e+02
1.492192583049312115e+09 1.265999999999999903e-01 2.967099999999999795e+02
1.492192583149246931e+09 1.265999999999999903e-01 2.967099999999999795e+02
1.492192583248193979e+09 1.265999999999999903e-01 2.967200000000000273e+02
1.492192583348278046e+09 1.265999999999999903e-01 2.967400000000000091e+02
1.492192583448364019e+09 1.265999999999999903e-01 2.967599999999999909e+02
1.492192583561095953e+09 1.265999999999999903e-01 2.967599999999999909e+02
1.492192583661189079e+09 1.265000000000000013e-01 2.967799999999999727e+02
1.492192583761288881e+09 1.265000000000000013e-01 2.968000000000000114e+02
1.492192583860061884e+09 1.265999999999999903e-01 2.968000000000000114e+02
1.492192583960026026e+09 1.267000000000000071e-01 2.968100000000000023e+02
1.492192584060115099e+09 1.265000000000000013e-01 2.968199999999999932e+02
1.492192584158008099e+09 1.265000000000000013e-01 2.968199999999999932e+02
1.492192584259113073e+09 1.262999999999999956e-01 2.968299999999999841e+02
1.492192584373130083e+09 1.264000000000000123e-01 2.968299999999999841e+02
1.492192584473141909e+09 1.262999999999999956e-01 2.968399999999999750e+02
1.492192584570986032e+09 1.264000000000000123e-01 2.968399999999999750e+02
1.492192584672086954e+09 1.265000000000000013e-01 2.968399999999999750e+02
1.492192584772056103e+09 1.265000000000000013e-01 2.968399999999999750e+02
1.492192584871098042e+09 1.264000000000000123e-01 2.968399999999999750e+02
1.492192584971096992e+09 1.264000000000000123e-01 2.968299999999999841e+02
1.492192585071166992e+09 1.264000000000000123e-01 2.968199999999999932e+02
1.492192585184143066e+09 1.264000000000000123e-01 2.968299999999999841e+02
1.492192585284070015e+09 1.264000000000000123e-01 2.968299999999999841e+02
1.492192585384020090e+09 1.265000000000000013e-01 2.968399999999999750e+02
1.492192585483017921e+09 1.265000000000000013e-01 2.968600000000000136e+02
1.492192585582882881e+09 1.265000000000000013e-01 2.968600000000000136e+02
1.492192585682991028e+09 1.265000000000000013e-01 2.968799999999999955e+02
1.492192585782032967e+09 1.265999999999999903e-01 2.968899999999999864e+02
1.492192585881720066e+09 1.264000000000000123e-01 2.968999999999999773e+02
1.492192585995894909e+09 1.264000000000000123e-01 2.968999999999999773e+02
1.492192586095824957e+09 1.265000000000000013e-01 2.969100000000000250e+02
1.492192586194176912e+09 1.264000000000000123e-01 2.969200000000000159e+02
1.492192586294008017e+09 1.262999999999999956e-01 2.969200000000000159e+02
1.492192586395047903e+09 1.264000000000000123e-01 2.969200000000000159e+02
1.492192586493551970e+09 1.264000000000000123e-01 2.969399999999999977e+02
1.492192586593303919e+09 1.265000000000000013e-01 2.969399999999999977e+02
1.492192586693118095e+09 1.262999999999999956e-01 2.969499999999999886e+02
1.492192586806917906e+09 1.262999999999999956e-01 2.969599999999999795e+02
1.492192586906007051e+09 1.262999999999999956e-01 2.969700000000000273e+02
1.492192587006004095e+09 1.262000000000000066e-01 2.969700000000000273e+02
1.492192587106941938e+09 1.262000000000000066e-01 2.969700000000000273e+02
1.492192587206007004e+09 1.265000000000000013e-01 2.969800000000000182e+02
1.492192587304636955e+09 1.262999999999999956e-01 2.969800000000000182e+02
1.492192587405046940e+09 1.262999999999999956e-01 2.969900000000000091e+02
1.492192587504939079e+09 1.264000000000000123e-01 2.969900000000000091e+02
1.492192587618933916e+09 1.265000000000000013e-01 2.970000000000000000e+02
1.492192587718895912e+09 1.262999999999999956e-01 2.970000000000000000e+02
1.492192587817744017e+09 1.264000000000000123e-01 2.970099999999999909e+02
1.492192587917854071e+09 1.264000000000000123e-01 2.970199999999999818e+02
1.492192588017908096e+09 1.264000000000000123e-01 2.970199999999999818e+02
1.492192588116801023e+09 1.264000000000000123e-01 2.970299999999999727e+02
1.492192588216773987e+09 1.262999999999999956e-01 2.970400000000000205e+02
1.492192588316771030e+09 1.265000000000000013e-01 2.970400000000000205e+02
1.492192588430751085e+09 1.265000000000000013e-01 2.970400000000000205e+02
1.492192588529805899e+09 1.264000000000000123e-01 2.970500000000000114e+02
1.492192588629791975e+09 1.265000000000000013e-01 2.970600000000000023e+02
1.492192588729748964e+09 1.265999999999999903e-01 2.970600000000000023e+02
1.492192588828629971e+09 1.264000000000000123e-01 2.970600000000000023e+02
1.492192588928698063e+09 1.264000000000000123e-01 2.970699999999999932e+02
1.492192589028666019e+09 1.264000000000000123e-01 2.970699999999999932e+02
1.492192589127552986e+09 1.262000000000000066e-01 2.970799999999999841e+02
1.492192589241668940e+09 1.262999999999999956e-01 2.970799999999999841e+02
1.492192589341790915e+09 1.265000000000000013e-01 2.970899999999999750e+02
1.492192589440651894e+09 1.264000000000000123e-01 2.970899999999999750e+02
1.492192589540699005e+09 1.264000000000000123e-01 2.970899999999999750e+02
1.492192589640739918e+09 1.262999999999999956e-01 2.971000000000000227e+02
1.492192589739634037e+09 1.262999999999999956e-01 2.971000000000000227e+02
1.492192589839720011e+09 1.262999999999999956e-01 2.971100000000000136e+02
1.492192589938546896e+09 1.262000000000000066e-01 2.971299999999999955e+02
1.492192590053551912e+09 1.262000000000000066e-01 2.971399999999999864e+02
1.492192590152632952e+09 1.262999999999999956e-01 2.971399999999999864e+02
1.492192590252430916e+09 1.264000000000000123e-01 2.971499999999999773e+02
1.492192590352699041e+09 1.262999999999999956e-01 2.971700000000000159e+02
1.492192590450771093e+09 1.264000000000000123e-01 2.971700000000000159e+02
1.492192590551666021e+09 1.262999999999999956e-01 2.971700000000000159e+02
1.492192590651585102e+09 1.264000000000000123e-01 2.971800000000000068e+02
1.492192590750098944e+09 1.264000000000000123e-01 2.971800000000000068e+02
1.492192590864532948e+09 1.262999999999999956e-01 2.971800000000000068e+02
1.492192590964421034e+09 1.262999999999999956e-01 2.971899999999999977e+02
1.492192591063487053e+09 1.262999999999999956e-01 2.971999999999999886e+02
1.492192591162484884e+09 1.262999999999999956e-01 2.971999999999999886e+02
