# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: Nitrogen
1.492192646280844927e+09 7.976999999999999647e-01 2.983899999999999864e+02
1.492192646385528088e+09 7.977999999999999536e-01 2.983899999999999864e+02
1.492192646484464884e+09 7.985999999999999766e-01 2.983999999999999773e+02
1.492192646584562063e+09 7.986999999999999655e-01 2.984100000000000250e+02
1.492192646684381962e+09 7.986999999999999655e-01 2.984100000000000250e+02
1.492192646784372091e+09 7.973999999999999977e-01 2.984100000000000250e+02
1.492192646882641077e+09 7.974999999999999867e-01 2.984100000000000250e+02
1.492192646982446909e+09 7.977999999999999536e-01 2.983999999999999773e+02
1.492192647081412077e+09 7.976999999999999647e-01 2.983999999999999773e+02
1.492192647181951046e+09 7.980000000000000426e-01 2.983899999999999864e+02
1.492192647296222925e+09 7.984999999999999876e-01 2.983799999999999955e+02
1.492192647396377087e+09 7.979000000000000536e-01 2.983799999999999955e+02
1.492192647495253086e+09 7.981000000000000316e-01 2.983700000000000045e+02
1.492192647595304966e+09 7.982000000000000206e-01 2.983600000000000136e+02
1.492192647695321083e+09 7.980000000000000426e-01 2.983500000000000227e+02
1.492192647794308901e+09 7.983000000000000096e-01 2.983500000000000227e+02
1.492192647894154072e+09 7.976999999999999647e-01 2.983399999999999750e+02
1.492192647992327929e+09 7.983999999999999986e-01 2.983299999999999841e+02
1.492192648093218088e+09 7.969000000000000528e-01 2.983299999999999841e+02
1.492192648207036972e+09 7.983999999999999986e-01 2.983199999999999932e+02
1.492192648307363033e+09 7.975999999999999757e-01 2.983100000000000023e+02
1.492192648406238079e+09 7.982000000000000206e-01 2.983100000000000023e+02
1.492192648506181955e+09 7.984999999999999876e-01 2.983100000000000023e+02
1.492192648605973005e+09 7.981000000000000316e-01 2.983100000000000023e+02
1.492192648705195904e+09 7.983999999999999986e-01 2.983000000000000114e+02
1.492192648805282116e+09 7.975999999999999757e-01 2.983000000000000114e+02
1.492192648905204058e+09 7.981000000000000316e-01 2.983100000000000023e+02
1.492192649004211903e+09 7.980000000000000426e-01 2.983100000000000023e+02
1.492192649118472099e+09 7.985999999999999766e-01 2.983100000000000023e+02
1.492192649218080044e+09 7.985999999999999766e-01 2.983100000000000023e+02
1.492192649317163944e+09 7.983000000000000096e-01 2.983100000000000023e+02
1.492192649417082071e+09 7.983999999999999986e-01 2.983000000000000114e+02
1.492192649516990900e+09 7.980000000000000426e-01 2.983000000000000114e+02
1.492192649616144896e+09 7.977999999999999536e-01 2.982900000000000205e+02
1.492192649716037035e+09 7.979000000000000536e-01 2.982699999999999818e+02
1.492192649816030025e+09 7.973999999999999977e-01 2.982699999999999818e+02
1.492192649929882050e+09 7.972000000000000197e-01 2.982500000000000000e+02
1.492192650029423952e+09 7.981000000000000316e-01 2.982400000000000091e+02
1.492192650129020929e+09 7.976999999999999647e-01 2.982200000000000273e+02
1.492192650229175091e+09 7.975999999999999757e-01 2.982200000000000273e+02
