# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 10
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.492192757431629896e+09 6.614999999999999769e-01 2.995299999999999727e+02
1.492192757554140091e+09 6.606999999999999540e-01 2.995299999999999727e+02
1.492192757654395103e+09 6.615999999999999659e-01 2.995400000000000205e+02
1.492192757752636909e+09 6.611000000000000210e-01 2.995500000000000114e+02
1.492192757853095055e+09 6.611000000000000210e-01 2.995500000000000114e+02
1.492192757953243971e+09 6.612000000000000099e-01 2.995500000000000114e+02
1.492192758052196980e+09 6.602000000000000091e-01 2.995500000000000114e+02
1.492192758151550055e+09 6.612999999999999989e-01 2.995500000000000114e+02
1.492192758266268969e+09 6.611000000000000210e-01 2.995500000000000114e+02
1.492192758365133047e+09 6.609000000000000430e-01 2.995500000000000114e+02
1.492192758465234041e+09 6.610000000000000320e-01 2.995600000000000023e+02
1.492192758565320015e+09 6.604999999999999760e-01 2.995600000000000023e+02
1.492192758663806915e+09 6.606999999999999540e-01 2.995500000000000114e+02
1.492192758764164925e+09 6.615999999999999659e-01 2.995500000000000114e+02
1.492192758864145041e+09 6.604999999999999760e-01 2.995500000000000114e+02
1.492192758963197947e+09 6.613999999999999879e-01 2.995500000000000114e+02
1.492192759077106953e+09 6.613999999999999879e-01 2.995500000000000114e+02
1.492192759177185059e+09 6.611000000000000210e-01 2.995400000000000205e+02
1.492192759276684046e+09 6.612999999999999989e-01 2.995400000000000205e+02
1.492192759376327991e+09 6.604999999999999760e-01 2.995400000000000205e+02
1.492192759476078987e+09 6.601000000000000201e-01 2.995400000000000205e+02
1.492192759576013088e+09 6.610000000000000320e-01 2.995400000000000205e+02
1.492192759675084114e+09 6.606999999999999540e-01 2.995400000000000205e+02
1.492192759775043964e+09 6.614999999999999769e-01 2.995400000000000205e+02
1.492192759889312983e+09 6.611000000000000210e-01 2.995400000000000205e+02
1.492192759988143921e+09 6.608000000000000540e-01 2.995400000000000205e+02
1.492192760088190079e+09 6.608000000000000540e-01 2.995400000000000205e+02
1.492192760188070059e+09 6.610000000000000320e-01 2.995400000000000205e+02
1.492192760286973000e+09 6.612000000000000099e-01 2.995400000000000205e+02
1.492192760386878967e+09 6.612999999999999989e-01 2.995500000000000114e+02
1.492192760486991882e+09 6.609000000000000430e-01 2.995600000000000023e+02
1.492192760585961103e+09 6.606999999999999540e-01 2.995699999999999932e+02
1.492192760700016975e+09 6.620000000000000329e-01 2.995699999999999932e+02
1.492192760800072908e+09 6.606999999999999540e-01 2.995699999999999932e+02
1.492192760900002956e+09 6.612999999999999989e-01 2.995899999999999750e+02
1.492192760998979092e+09 6.608000000000000540e-01 2.995899999999999750e+02
1.492192761098853111e+09 6.610000000000000320e-01 2.995899999999999750e+02
1.492192761198932886e+09 6.613999999999999879e-01 2.995899999999999750e+02
1.492192761297950983e+09 6.612999999999999989e-01 2.995899999999999750e+02
1.492192761398051977e+09 6.612000000000000099e-01 2.996000000000000227e+02
1.492192761511832952e+09 6.612999999999999989e-01 2.996100000000000136e+02
1.492192761610927105e+09 6.612999999999999989e-01 2.996000000000000227e+02
1.492192761710829973e+09 6.610000000000000320e-01 2.996000000000000227e+02
1.492192761810810089e+09 6.605999999999999650e-01 2.996000000000000227e+02
1.492192761909961939e+09 6.609000000000000430e-01 2.996000000000000227e+02
1.492192762009900093e+09 6.612999999999999989e-01 2.996000000000000227e+02
1.492192762109837055e+09 6.610000000000000320e-01 2.996100000000000136e+02
1.492192762208834887e+09 6.608000000000000540e-01 2.996100000000000136e+02
1.492192762322881937e+09 6.611000000000000210e-01 2.996100000000000136e+02
1.492192762422981977e+09 6.606999999999999540e-01 2.996100000000000136e+02
1.492192762522440910e+09 6.611000000000000210e-01 2.996100000000000136e+02
1.492192762621850014e+09 6.608000000000000540e-01 2.996100000000000136e+02
1.492192762721762896e+09 6.608000000000000540e-01 2.996100000000000136e+02
1.492192762821939945e+09 6.604999999999999760e-01 2.996200000000000045e+02
1.492192762920916080e+09 6.606999999999999540e-01 2.996200000000000045e+02
1.492192763020787001e+09 6.612000000000000099e-01 2.996100000000000136e+02
1.492192763134856939e+09 6.611000000000000210e-01 2.996100000000000136e+02
1.492192763234769106e+09 6.606999999999999540e-01 2.996100000000000136e+02
1.492192763333895922e+09 6.614999999999999769e-01 2.996100000000000136e+02
1.492192763433924913e+09 6.611000000000000210e-01 2.996100000000000136e+02
1.492192763533584118e+09 6.606999999999999540e-01 2.996100000000000136e+02
1.492192763632771969e+09 6.605999999999999650e-01 2.996100000000000136e+02
1.492192763732877970e+09 6.609000000000000430e-01 2.996100000000000136e+02
1.492192763831729889e+09 6.605999999999999650e-01 2.996100000000000136e+02
1.492192763945614100e+09 6.612000000000000099e-01 2.996200000000000045e+02
1.492192764045768023e+09 6.603999999999999870e-01 2.996200000000000045e+02
1.492192764145773888e+09 6.603999999999999870e-01 2.996200000000000045e+02
1.492192764244599104e+09 6.606999999999999540e-01 2.996200000000000045e+02
1.492192764344666958e+09 6.611000000000000210e-01 2.996299999999999955e+02
1.492192764444547892e+09 6.609000000000000430e-01 2.996299999999999955e+02
1.492192764543623924e+09 6.613999999999999879e-01 2.996200000000000045e+02
1.492192764643026114e+09 6.610000000000000320e-01 2.996200000000000045e+02
1.492192764757690907e+09 6.608000000000000540e-01 2.996299999999999955e+02
1.492192764857568979e+09 6.613999999999999879e-01 2.996299999999999955e+02
1.492192764956629992e+09 6.615999999999999659e-01 2.996299999999999955e+02
1.492192765056668043e+09 6.612000000000000099e-01 2.996200000000000045e+02
1.492192765156678915e+09 6.608000000000000540e-01 2.996200000000000045e+02
1.492192765255546093e+09 6.610000000000000320e-01 2.996200000000000045e+02
1.492192765355494976e+09 6.612000000000000099e-01 2.996299999999999955e+02
1.492192765455523968e+09 6.611000000000000210e-01 2.996299999999999955e+02
1.492192765568475008e+09 6.615999999999999659e-01 2.996299999999999955e+02
1.492192765668636084e+09 6.602999999999999980e-01 2.996299999999999955e+02
1.492192765768649101e+09 6.612999999999999989e-01 2.996399999999999864e+02
1.492192765867571115e+09 6.609000000000000430e-01 2.996399999999999864e+02
1.492192765967535973e+09 6.604999999999999760e-01 2.996399999999999864e+02
1.492192766067462921e+09 6.602000000000000091e-01 2.996499999999999773e+02
1.492192766165532112e+09 6.608000000000000540e-01 2.996499999999999773e+02
1.492192766266541004e+09 6.611000000000000210e-01 2.996600000000000250e+02
1.492192766380386114e+09 6.612000000000000099e-01 2.996600000000000250e+02
1.492192766480254889e+09 6.610000000000000320e-01 2.996600000000000250e+02
1.492192766579678059e+09 6.611000000000000210e-01 2.996600000000000250e+02
1.492192766679490089e+09 6.613999999999999879e-01 2.996499999999999773e+02
1.492192766779515982e+09 6.611000000000000210e-01 2.996499999999999773e+02
1.492192766878520966e+09 6.611000000000000210e-01 2.996499999999999773e+02
1.492192766978481054e+09 6.603999999999999870e-01 2.996499999999999773e+02
1.492192767078484058e+09 6.603999999999999870e-01 2.996600000000000250e+02
1.492192767192359924e+09 6.616999999999999549e-01 2.996600000000000250e+02
1.492192767291383982e+09 6.606999999999999540e-01 2.996600000000000250e+02
1.492192767391501904e+09 6.614999999999999769e-01 2.996700000000000159e+02
1.492192767490343094e+09 6.612000000000000099e-01 2.996800000000000068e+02
1.492192767590372086e+09 6.612000000000000099e-01 2.996800000000000068e+02
1.492192767690426111e+09 6.619000000000000439e-01 2.996800000000000068e+02
1.492192767789359093e+09 6.613999999999999879e-01 2.996899999999999977e+02
1.492192767889413118e+09 6.608000000000000540e-01 2.997099999999999795e+02
1.492192768003217936e+09 6.611000000000000210e-01 2.997099999999999795e+02
1.492192768103315115e+09 6.604999999999999760e-01 2.997200000000000273e+02
1.492192768202099085e+09 6.602999999999999980e-01 2.997300000000000182e+02
1.492192768302227974e+09 6.612000000000000099e-01 2.997300000000000182e+02
1.492192768402484894e+09 6.603999999999999870e-01 2.997200000000000273e+02
1.492192768501161098e+09 6.610000000000000320e-01 2.997200000000000273e+02
1.492192768601272106e+09 6.613999999999999879e-01 2.997200000000000273e+02
1.492192768701163054e+09 6.606999999999999540e-01 2.997200000000000273e+02
1.492192768815171957e+09 6.605999999999999650e-01 2.997200000000000273e+02
1.492192768914237976e+09 6.603999999999999870e-01 2.997200000000000273e+02
1.492192769014250040e+09 6.609000000000000430e-01 2.997200000000000273e+02
1.492192769113130093e+09 6.604999999999999760e-01 2.997300000000000182e+02
1.492192769213228941e+09 6.606999999999999540e-01 2.997300000000000182e+02
1.492192769313226938e+09 6.609000000000000430e-01 2.997300000000000182e+02
1.492192769413132906e+09 6.605999999999999650e-01 2.997400000000000091e+02
1.492192769512219906e+09 6.614999999999999769e-01 2.997400000000000091e+02
1.492192769626173019e+09 6.610000000000000320e-01 2.997200000000000273e+02
1.492192769726229906e+09 6.605999999999999650e-01 2.997200000000000273e+02
1.492192769825197935e+09 6.610000000000000320e-01 2.997200000000000273e+02
1.492192769925122023e+09 6.609000000000000430e-01 2.996999999999999886e+02
1.492192770025149107e+09 6.604999999999999760e-01 2.996999999999999886e+02
1.492192770124058008e+09 6.610000000000000320e-01 2.996800000000000068e+02
1.492192770224139929e+09 6.608000000000000540e-01 2.996600000000000250e+02
1.492192770324007988e+09 6.612000000000000099e-01 2.996299999999999955e+02
1.492192770437474012e+09 6.609000000000000430e-01 2.996299999999999955e+02
1.492192770537041903e+09 6.605999999999999650e-01 2.996000000000000227e+02
1.492192770636998892e+09 6.606999999999999540e-01 2.995799999999999841e+02
1.492192770736071110e+09 6.611000000000000210e-01 2.995799999999999841e+02
1.492192770836179972e+09 6.606999999999999540e-01 2.995600000000000023e+02
1.492192770936171055e+09 6.603999999999999870e-01 2.995400000000000205e+02
1.492192771036036968e+09 6.602000000000000091e-01 2.995400000000000205e+02
1.492192771135092974e+09 6.606999999999999540e-01 2.995199999999999818e+02
1.492192771249089003e+09 6.608000000000000540e-01 2.994900000000000091e+02
1.492192771349015951e+09 6.602999999999999980e-01 2.994800000000000182e+02
1.492192771449047089e+09 6.610000000000000320e-01 2.994800000000000182e+02
1.492192771548108101e+09 6.606999999999999540e-01 2.994599999999999795e+02
1.492192771647434950e+09 6.611000000000000210e-01 2.994399999999999977e+02
1.492192771748020887e+09 6.612000000000000099e-01 2.994399999999999977e+02
1.492192771847222090e+09 6.602999999999999980e-01 2.994200000000000159e+02
1.492192771946902990e+09 6.611000000000000210e-01 2.993999999999999773e+02
1.492192772060775995e+09 6.603999999999999870e-01 2.993799999999999955e+02
1.492192772160094023e+09 6.612999999999999989e-01 2.993799999999999955e+02
1.492192772259967089e+09 6.614999999999999769e-01 2.993700000000000045e+02
1.492192772359822035e+09 6.609000000000000430e-01 2.993500000000000227e+02
1.492192772458903074e+09 6.603999999999999870e-01 2.993500000000000227e+02
1.492192772558963060e+09 6.602999999999999980e-01 2.993399999999999750e+02
1.492192772658993006e+09 6.611000000000000210e-01 2.993100000000000023e+02
1.492192772757889032e+09 6.609000000000000430e-01 2.993000000000000114e+02
1.492192772871814966e+09 6.609000000000000430e-01 2.993000000000000114e+02
1.492192772971831083e+09 6.604999999999999760e-01 2.992799999999999727e+02
1.492192773072067976e+09 6.608000000000000540e-01 2.992699999999999818e+02
1.492192773170986891e+09 6.608000000000000540e-01 2.992699999999999818e+02
1.492192773270870924e+09 6.611000000000000210e-01 2.992500000000000000e+02
1.492192773370914936e+09 6.610000000000000320e-01 2.992300000000000182e+02
1.492192773469935894e+09 6.613999999999999879e-01 2.992300000000000182e+02
1.492192773570019960e+09 6.619000000000000439e-01 2.992099999999999795e+02
1.492192773683971882e+09 6.608000000000000540e-01 2.991999999999999886e+02
1.492192773782907009e+09 6.610000000000000320e-01 2.991800000000000068e+02
1.492192773882863045e+09 6.600000000000000311e-01 2.991800000000000068e+02
1.492192773982800961e+09 6.606999999999999540e-01 2.991600000000000250e+02
1.492192774081883907e+09 6.605999999999999650e-01 2.991499999999999773e+02
1.492192774181829929e+09 6.602999999999999980e-01 2.991499999999999773e+02
1.492192774281717062e+09 6.601000000000000201e-01 2.991399999999999864e+02
1.492192774380903959e+09 6.603999999999999870e-01 2.991299999999999955e+02
1.492192774494457006e+09 6.608000000000000540e-01 2.991200000000000045e+02
1.492192774594118118e+09 6.603999999999999870e-01 2.991200000000000045e+02
1.492192774693975925e+09 6.611000000000000210e-01 2.991000000000000227e+02
1.492192774793740034e+09 6.609000000000000430e-01 2.990899999999999750e+02
1.492192774893522978e+09 6.611000000000000210e-01 2.990899999999999750e+02
1.492192774993433952e+09 6.610000000000000320e-01 2.990699999999999932e+02
1.492192775092813969e+09 6.611000000000000210e-01 2.990600000000000023e+02
1.492192775192347050e+09 6.614999999999999769e-01 2.990500000000000114e+02
1.492192775306576967e+09 6.608000000000000540e-01 2.990500000000000114e+02
1.492192775405693054e+09 6.609000000000000430e-01 2.990400000000000205e+02
1.492192775505552053e+09 6.602999999999999980e-01 2.990199999999999818e+02
1.492192775605601072e+09 6.608000000000000540e-01 2.990199999999999818e+02
1.492192775704694033e+09 6.604999999999999760e-01 2.990199999999999818e+02
1.492192775804553032e+09 6.610000000000000320e-01 2.990000000000000000e+02
1.492192775904644966e+09 6.605999999999999650e-01 2.990000000000000000e+02
1.492192776003634930e+09 6.611000000000000210e-01 2.989900000000000091e+02
1.492192776117456913e+09 6.603999999999999870e-01 2.989800000000000182e+02
1.492192776217590094e+09 6.606999999999999540e-01 2.989700000000000273e+02
1.492192776317151070e+09 6.602999999999999980e-01 2.989700000000000273e+02
1.492192776416670084e+09 6.606999999999999540e-01 2.989599999999999795e+02
1.492192776516720057e+09 6.610000000000000320e-01 2.989399999999999977e+02
1.492192776616524935e+09 6.608000000000000540e-01 2.989399999999999977e+02
1.492192776715527058e+09 6.603999999999999870e-01 2.989300000000000068e+02
1.492192776815395117e+09 6.610000000000000320e-01 2.989200000000000159e+02
1.492192776929573059e+09 6.599000000000000421e-01 2.989200000000000159e+02
1.492192777028556108e+09 6.602000000000000091e-01 2.989200000000000159e+02
1.492192777128468990e+09 6.605999999999999650e-01 2.989100000000000250e+02
1.492192777228552103e+09 6.611000000000000210e-01 2.988999999999999773e+02
1.492192777327601910e+09 6.608000000000000540e-01 2.988999999999999773e+02
1.492192777427537918e+09 6.602000000000000091e-01 2.988999999999999773e+02
1.492192777527316093e+09 6.609000000000000430e-01 2.988899999999999864e+02
1.492192777626441956e+09 6.612000000000000099e-01 2.988799999999999955e+02
1.492192777740345001e+09 6.609000000000000430e-01 2.988799999999999955e+02
1.492192777840415001e+09 6.602999999999999980e-01 2.988799999999999955e+02
1.492192777940484047e+09 6.608000000000000540e-01 2.988700000000000045e+02
