# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: Nitrogen
1.492193495060005903e+09 7.963999999999999968e-01 3.008000000000000114e+02
1.492193495151753902e+09 7.970000000000000417e-01 3.008000000000000114e+02
1.492193495251830101e+09 7.960000000000000409e-01 3.008000000000000114e+02
1.492193495350994110e+09 7.964999999999999858e-01 3.008000000000000114e+02
1.492193495451025963e+09 7.952000000000000179e-01 3.008000000000000114e+02
1.492193495549941063e+09 7.957999999999999519e-01 3.008000000000000114e+02
1.492193495649959087e+09 7.957999999999999519e-01 3.007900000000000205e+02
1.492193495749918938e+09 7.966999999999999638e-01 3.007900000000000205e+02
1.492193495849057913e+09 7.963000000000000078e-01 3.007900000000000205e+02
1.492193495948795080e+09 7.955999999999999739e-01 3.007900000000000205e+02
1.492193496048943043e+09 7.963000000000000078e-01 3.007900000000000205e+02
1.492193496163011074e+09 7.954999999999999849e-01 3.007900000000000205e+02
1.492193496261464119e+09 7.957999999999999519e-01 3.007900000000000205e+02
1.492193496361799955e+09 7.954999999999999849e-01 3.007900000000000205e+02
1.492193496461874962e+09 7.954999999999999849e-01 3.007900000000000205e+02
1.492193496560828924e+09 7.961000000000000298e-01 3.007900000000000205e+02
1.492193496660805941e+09 7.961000000000000298e-01 3.007900000000000205e+02
1.492193496760725021e+09 7.959000000000000519e-01 3.007799999999999727e+02
1.492193496859802008e+09 7.953999999999999959e-01 3.007799999999999727e+02
1.492193496959844112e+09 7.966999999999999638e-01 3.007799999999999727e+02
1.492193497073844910e+09 7.957999999999999519e-01 3.007799999999999727e+02
1.492193497172637939e+09 7.961000000000000298e-01 3.007799999999999727e+02
1.492193497272783995e+09 7.964999999999999858e-01 3.007799999999999727e+02
1.492193497372855902e+09 7.961000000000000298e-01 3.007799999999999727e+02
1.492193497471735954e+09 7.961000000000000298e-01 3.007799999999999727e+02
1.492193497571743011e+09 7.956999999999999629e-01 3.007799999999999727e+02
1.492193497671768904e+09 7.957999999999999519e-01 3.007799999999999727e+02
1.492193497770730019e+09 7.963000000000000078e-01 3.007799999999999727e+02
1.492193497870731115e+09 7.964999999999999858e-01 3.007799999999999727e+02
1.492193497984819889e+09 7.966999999999999638e-01 3.007799999999999727e+02
1.492193498084907055e+09 7.961000000000000298e-01 3.007699999999999818e+02
1.492193498183083057e+09 7.955999999999999739e-01 3.007699999999999818e+02
1.492193498282828093e+09 7.960000000000000409e-01 3.007699999999999818e+02
1.492193498384104013e+09 7.957999999999999519e-01 3.007699999999999818e+02
