# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -5
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.492193864221694946e+09 6.634999999999999787e-01 2.980299999999999727e+02
1.492193864335262060e+09 6.633999999999999897e-01 2.980299999999999727e+02
1.492193864435523033e+09 6.632000000000000117e-01 2.980299999999999727e+02
1.492193864534399986e+09 6.634999999999999787e-01 2.980299999999999727e+02
1.492193864633574009e+09 6.641000000000000236e-01 2.980299999999999727e+02
1.492193864734395027e+09 6.633999999999999897e-01 2.980299999999999727e+02
1.492193864833595037e+09 6.641000000000000236e-01 2.980299999999999727e+02
1.492193864933420897e+09 6.633000000000000007e-01 2.980400000000000205e+02
1.492193865033443928e+09 6.637999999999999456e-01 2.980400000000000205e+02
1.492193865132458925e+09 6.646999999999999575e-01 2.980400000000000205e+02
1.492193865246527910e+09 6.636999999999999567e-01 2.980400000000000205e+02
1.492193865346560001e+09 6.640000000000000346e-01 2.980400000000000205e+02
1.492193865446222067e+09 6.644999999999999796e-01 2.980400000000000205e+02
1.492193865545322895e+09 6.634999999999999787e-01 2.980400000000000205e+02
1.492193865645381927e+09 6.644999999999999796e-01 2.980400000000000205e+02
1.492193865745408058e+09 6.637999999999999456e-01 2.980400000000000205e+02
1.492193865844384909e+09 6.642000000000000126e-01 2.980400000000000205e+02
1.492193865944251060e+09 6.639000000000000457e-01 2.980400000000000205e+02
1.492193866058331013e+09 6.644999999999999796e-01 2.980400000000000205e+02
1.492193866157327890e+09 6.633999999999999897e-01 2.980400000000000205e+02
1.492193866257244110e+09 6.645999999999999686e-01 2.980400000000000205e+02
1.492193866357333899e+09 6.640000000000000346e-01 2.980400000000000205e+02
1.492193866456198931e+09 6.636999999999999567e-01 2.980400000000000205e+02
1.492193866556296110e+09 6.634999999999999787e-01 2.980400000000000205e+02
1.492193866656286001e+09 6.635999999999999677e-01 2.980400000000000205e+02
1.492193866755184889e+09 6.630000000000000338e-01 2.980400000000000205e+02
1.492193866869724035e+09 6.632000000000000117e-01 2.980400000000000205e+02
1.492193866969099045e+09 6.637999999999999456e-01 2.980400000000000205e+02
1.492193867069171906e+09 6.640000000000000346e-01 2.980400000000000205e+02
1.492193867168283939e+09 6.636999999999999567e-01 2.980500000000000114e+02
1.492193867268167973e+09 6.635999999999999677e-01 2.980500000000000114e+02
1.492193867368201971e+09 6.636999999999999567e-01 2.980500000000000114e+02
1.492193867466284990e+09 6.634999999999999787e-01 2.980500000000000114e+02
1.492193867567047119e+09 6.635999999999999677e-01 2.980500000000000114e+02
1.492193867667239904e+09 6.644999999999999796e-01 2.980500000000000114e+02
1.492193867781105995e+09 6.636999999999999567e-01 2.980500000000000114e+02
1.492193867880172014e+09 6.637999999999999456e-01 2.980500000000000114e+02
1.492193867980168104e+09 6.640000000000000346e-01 2.980500000000000114e+02
1.492193868080039978e+09 6.640000000000000346e-01 2.980500000000000114e+02
1.492193868179212093e+09 6.640000000000000346e-01 2.980500000000000114e+02
1.492193868279197931e+09 6.633999999999999897e-01 2.980500000000000114e+02
1.492193868379297972e+09 6.643999999999999906e-01 2.980500000000000114e+02
1.492193868478179932e+09 6.640000000000000346e-01 2.980500000000000114e+02
1.492193868592046976e+09 6.637999999999999456e-01 2.980500000000000114e+02
1.492193868692193031e+09 6.643000000000000016e-01 2.980500000000000114e+02
1.492193868792248011e+09 6.639000000000000457e-01 2.980500000000000114e+02
1.492193868891112089e+09 6.635999999999999677e-01 2.980500000000000114e+02
1.492193868991133928e+09 6.643999999999999906e-01 2.980500000000000114e+02
1.492193869090198994e+09 6.631000000000000227e-01 2.980500000000000114e+02
1.492193869190165043e+09 6.639000000000000457e-01 2.980500000000000114e+02
1.492193869290065050e+09 6.629000000000000448e-01 2.980500000000000114e+02
1.492193869403758049e+09 6.635999999999999677e-01 2.980500000000000114e+02
1.492193869502167940e+09 6.646999999999999575e-01 2.980500000000000114e+02
1.492193869603032112e+09 6.633999999999999897e-01 2.980500000000000114e+02
1.492193869702240944e+09 6.631000000000000227e-01 2.980500000000000114e+02
1.492193869802037001e+09 6.634999999999999787e-01 2.980500000000000114e+02
1.492193869901957035e+09 6.645999999999999686e-01 2.980500000000000114e+02
1.492193870001842976e+09 6.635999999999999677e-01 2.980500000000000114e+02
1.492193870101170063e+09 6.643000000000000016e-01 2.980500000000000114e+02
1.492193870214943886e+09 6.635999999999999677e-01 2.980600000000000023e+02
1.492193870314281940e+09 6.637999999999999456e-01 2.980600000000000023e+02
1.492193870414846897e+09 6.635999999999999677e-01 2.980600000000000023e+02
1.492193870514008045e+09 6.635999999999999677e-01 2.980600000000000023e+02
1.492193870613920927e+09 6.639000000000000457e-01 2.980600000000000023e+02
1.492193870713947058e+09 6.641000000000000236e-01 2.980600000000000023e+02
1.492193870812875986e+09 6.633999999999999897e-01 2.980600000000000023e+02
1.492193870912952900e+09 6.640000000000000346e-01 2.980600000000000023e+02
1.492193871026730061e+09 6.640000000000000346e-01 2.980500000000000114e+02
