# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: 
1.492193997745306969e+09 1.209999999999999964e-01 2.984300000000000068e+02
1.492193997845745087e+09 1.210999999999999993e-01 2.984300000000000068e+02
1.492193997940233946e+09 1.210999999999999993e-01 2.984300000000000068e+02
1.492193998039910078e+09 1.208999999999999936e-01 2.984300000000000068e+02
1.492193998156431913e+09 1.208999999999999936e-01 2.984300000000000068e+02
1.492193998256160975e+09 1.208999999999999936e-01 2.984300000000000068e+02
1.492193998355861902e+09 1.208999999999999936e-01 2.984300000000000068e+02
1.492193998453501940e+09 1.209999999999999964e-01 2.984300000000000068e+02
1.492193998555394888e+09 1.209999999999999964e-01 2.984300000000000068e+02
1.492193998655163050e+09 1.210999999999999993e-01 2.984300000000000068e+02
1.492193998754982948e+09 1.209999999999999964e-01 2.984300000000000068e+02
1.492193998854691029e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193998955563068e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193999069545984e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193999169706106e+09 1.210999999999999993e-01 2.984399999999999977e+02
1.492193999269810915e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193999368630886e+09 1.208999999999999936e-01 2.984399999999999977e+02
1.492193999468638897e+09 1.208999999999999936e-01 2.984399999999999977e+02
1.492193999568598032e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193999667721987e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193999767668009e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193999881586075e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492193999980634928e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194000080543995e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194000180619001e+09 1.210999999999999993e-01 2.984399999999999977e+02
1.492194000279570103e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194000379590034e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194000479551077e+09 1.210999999999999993e-01 2.984399999999999977e+02
1.492194000578491926e+09 1.210999999999999993e-01 2.984399999999999977e+02
1.492194000692466021e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194000792607069e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194000892529011e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194000991558075e+09 1.213000000000000050e-01 2.984399999999999977e+02
1.492194001091551065e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194001191385031e+09 1.209999999999999964e-01 2.984399999999999977e+02
1.492194001290379047e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194001390491009e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194001504358053e+09 1.208000000000000046e-01 2.984499999999999886e+02
1.492194001598201036e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194001699341059e+09 1.208999999999999936e-01 2.984399999999999977e+02
1.492194001800303936e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194001902378082e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194001999037027e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194002102581024e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194002196649075e+09 1.210999999999999993e-01 2.984499999999999886e+02
1.492194002312762976e+09 1.212000000000000022e-01 2.984499999999999886e+02
1.492194002412736893e+09 1.213000000000000050e-01 2.984499999999999886e+02
1.492194002512670040e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194002612384081e+09 1.212000000000000022e-01 2.984499999999999886e+02
1.492194002712145090e+09 1.212000000000000022e-01 2.984499999999999886e+02
1.492194002810100079e+09 1.210999999999999993e-01 2.984499999999999886e+02
1.492194002911679029e+09 1.212000000000000022e-01 2.984499999999999886e+02
1.492194003011415958e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194003127351999e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194003225171089e+09 1.210999999999999993e-01 2.984499999999999886e+02
1.492194003326448917e+09 1.210999999999999993e-01 2.984499999999999886e+02
1.492194003426145077e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194003525325060e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194003625165939e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194003720748901e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194003819840908e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194003937000036e+09 1.210999999999999993e-01 2.984499999999999886e+02
1.492194004038279057e+09 1.210999999999999993e-01 2.984499999999999886e+02
1.492194004138330936e+09 1.208999999999999936e-01 2.984499999999999886e+02
1.492194004232676983e+09 1.209999999999999964e-01 2.984499999999999886e+02
1.492194004333831072e+09 1.210999999999999993e-01 2.984499999999999886e+02
1.492194004436949015e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194004536144018e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194004631407976e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194004750268936e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194004846693039e+09 1.210999999999999993e-01 2.984599999999999795e+02
1.492194004944946051e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194005048841953e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194005148121119e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194005248157024e+09 1.212000000000000022e-01 2.984599999999999795e+02
1.492194005348174095e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194005447058916e+09 1.212000000000000022e-01 2.984599999999999795e+02
1.492194005561284065e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194005661098003e+09 1.212000000000000022e-01 2.984599999999999795e+02
1.492194005761183023e+09 1.212000000000000022e-01 2.984599999999999795e+02
1.492194005860061884e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194005960099936e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194006060169935e+09 1.210999999999999993e-01 2.984599999999999795e+02
1.492194006159120083e+09 1.212000000000000022e-01 2.984599999999999795e+02
1.492194006259140015e+09 1.209999999999999964e-01 2.984599999999999795e+02
1.492194006370079994e+09 1.209999999999999964e-01 2.984700000000000273e+02
1.492194006469835997e+09 1.208000000000000046e-01 2.984700000000000273e+02
1.492194006569597006e+09 1.208000000000000046e-01 2.984599999999999795e+02
1.492194006669389963e+09 1.208999999999999936e-01 2.984599999999999795e+02
1.492194006769141912e+09 1.209999999999999964e-01 2.984599999999999795e+02
