# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 60
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.492194915487135887e+09 6.830000000000000515e-01 2.959399999999999977e+02
1.492194915583820105e+09 6.833000000000000185e-01 2.959399999999999977e+02
1.492194915683363914e+09 6.830000000000000515e-01 2.959399999999999977e+02
1.492194915798660994e+09 6.833000000000000185e-01 2.959399999999999977e+02
1.492194915898328066e+09 6.833000000000000185e-01 2.959399999999999977e+02
1.492194915997481108e+09 6.833000000000000185e-01 2.959399999999999977e+02
1.492194916097501993e+09 6.832000000000000295e-01 2.959399999999999977e+02
1.492194916196362019e+09 6.836999999999999744e-01 2.959399999999999977e+02
1.492194916296468973e+09 6.824000000000000066e-01 2.959399999999999977e+02
1.492194916396363020e+09 6.820000000000000506e-01 2.959399999999999977e+02
1.492194916495357990e+09 6.834999999999999964e-01 2.959399999999999977e+02
1.492194916595285892e+09 6.828999999999999515e-01 2.959399999999999977e+02
1.492194916695343971e+09 6.830000000000000515e-01 2.959399999999999977e+02
1.492194916809364080e+09 6.838999999999999524e-01 2.959399999999999977e+02
1.492194916908405066e+09 6.832000000000000295e-01 2.959399999999999977e+02
1.492194917008445024e+09 6.830000000000000515e-01 2.959399999999999977e+02
1.492194917108434916e+09 6.834000000000000075e-01 2.959399999999999977e+02
1.492194917207220078e+09 6.830000000000000515e-01 2.959399999999999977e+02
1.492194917307051897e+09 6.837999999999999634e-01 2.959399999999999977e+02
1.492194917407367945e+09 6.834999999999999964e-01 2.959499999999999886e+02
1.492194917506355047e+09 6.832000000000000295e-01 2.959399999999999977e+02
1.492194917620224953e+09 6.826999999999999735e-01 2.959499999999999886e+02
1.492194917719558001e+09 6.828999999999999515e-01 2.959499999999999886e+02
1.492194917820236921e+09 6.825999999999999845e-01 2.959499999999999886e+02
1.492194917919296026e+09 6.834999999999999964e-01 2.959499999999999886e+02
1.492194918019165039e+09 6.833000000000000185e-01 2.959499999999999886e+02
1.492194918118495941e+09 6.825999999999999845e-01 2.959499999999999886e+02
1.492194918218049049e+09 6.834999999999999964e-01 2.959499999999999886e+02
1.492194918318152905e+09 6.828999999999999515e-01 2.959499999999999886e+02
1.492194918432269096e+09 6.828999999999999515e-01 2.959499999999999886e+02
1.492194918531188011e+09 6.832000000000000295e-01 2.959499999999999886e+02
1.492194918631180048e+09 6.826999999999999735e-01 2.959499999999999886e+02
1.492194918731070995e+09 6.828999999999999515e-01 2.959499999999999886e+02
1.492194918830140114e+09 6.833000000000000185e-01 2.959499999999999886e+02
1.492194918930084944e+09 6.835999999999999854e-01 2.959499999999999886e+02
1.492194919030077934e+09 6.826999999999999735e-01 2.959499999999999886e+02
1.492194919128060102e+09 6.830000000000000515e-01 2.959499999999999886e+02
1.492194919228991985e+09 6.828999999999999515e-01 2.959499999999999886e+02
1.492194919342976093e+09 6.838999999999999524e-01 2.959499999999999886e+02
1.492194919443171978e+09 6.833000000000000185e-01 2.959499999999999886e+02
1.492194919542421103e+09 6.832000000000000295e-01 2.959499999999999886e+02
1.492194919642096043e+09 6.828999999999999515e-01 2.959499999999999886e+02
1.492194919740042925e+09 6.832000000000000295e-01 2.959499999999999886e+02
1.492194919840339899e+09 6.830000000000000515e-01 2.959499999999999886e+02
1.492194919940109968e+09 6.833000000000000185e-01 2.959499999999999886e+02
1.492194920039787054e+09 6.836999999999999744e-01 2.959499999999999886e+02
1.492194920154089928e+09 6.825999999999999845e-01 2.959499999999999886e+02
1.492194920254103899e+09 6.837999999999999634e-01 2.959499999999999886e+02
1.492194920354064941e+09 6.833000000000000185e-01 2.959499999999999886e+02
1.492194920453126907e+09 6.836999999999999744e-01 2.959499999999999886e+02
1.492194920553150892e+09 6.834999999999999964e-01 2.959499999999999886e+02
1.492194920652986050e+09 6.834000000000000075e-01 2.959499999999999886e+02
1.492194920750833035e+09 6.833000000000000185e-01 2.959499999999999886e+02
1.492194920852020025e+09 6.824999999999999956e-01 2.959599999999999795e+02
1.492194920966033936e+09 6.827999999999999625e-01 2.959499999999999886e+02
1.492194921065030098e+09 6.827999999999999625e-01 2.959599999999999795e+02
1.492194921165020943e+09 6.832000000000000295e-01 2.959599999999999795e+02
1.492194921264977932e+09 6.828999999999999515e-01 2.959599999999999795e+02
1.492194921364830971e+09 6.832000000000000295e-01 2.959599999999999795e+02
1.492194921463948965e+09 6.831000000000000405e-01 2.959599999999999795e+02
1.492194921563971043e+09 6.834000000000000075e-01 2.959599999999999795e+02
1.492194921664088011e+09 6.830000000000000515e-01 2.959599999999999795e+02
1.492194921776956081e+09 6.832000000000000295e-01 2.959599999999999795e+02
1.492194921876946926e+09 6.826999999999999735e-01 2.959599999999999795e+02
1.492194921976937056e+09 6.831000000000000405e-01 2.959599999999999795e+02
1.492194922075896025e+09 6.827999999999999625e-01 2.959599999999999795e+02
1.492194922175931931e+09 6.826999999999999735e-01 2.959599999999999795e+02
1.492194922275885105e+09 6.833000000000000185e-01 2.959599999999999795e+02
1.492194922373882055e+09 6.830000000000000515e-01 2.959599999999999795e+02
1.492194922474761009e+09 6.834000000000000075e-01 2.959599999999999795e+02
1.492194922588668108e+09 6.831000000000000405e-01 2.959599999999999795e+02
1.492194922688824892e+09 6.828999999999999515e-01 2.959599999999999795e+02
1.492194922787874937e+09 6.827999999999999625e-01 2.959599999999999795e+02
1.492194922886771917e+09 6.833000000000000185e-01 2.959599999999999795e+02
1.492194922987869978e+09 6.831000000000000405e-01 2.959599999999999795e+02
1.492194923086760044e+09 6.834000000000000075e-01 2.959599999999999795e+02
1.492194923186758041e+09 6.827999999999999625e-01 2.959599999999999795e+02
1.492194923286710024e+09 6.832000000000000295e-01 2.959599999999999795e+02
1.492194923400708914e+09 6.826999999999999735e-01 2.959599999999999795e+02
1.492194923499742031e+09 6.827999999999999625e-01 2.959599999999999795e+02
1.492194923599590063e+09 6.834000000000000075e-01 2.959599999999999795e+02
1.492194923697796106e+09 6.826999999999999735e-01 2.959599999999999795e+02
1.492194923798764944e+09 6.832000000000000295e-01 2.959599999999999795e+02
1.492194923898658037e+09 6.837999999999999634e-01 2.959599999999999795e+02
1.492194923998415947e+09 6.826999999999999735e-01 2.959599999999999795e+02
1.492194924096852064e+09 6.824999999999999956e-01 2.959599999999999795e+02
1.492194924210581064e+09 6.835999999999999854e-01 2.959599999999999795e+02
1.492194924310920000e+09 6.827999999999999625e-01 2.959599999999999795e+02
1.492194924410670042e+09 6.830000000000000515e-01 2.959599999999999795e+02
1.492194924510668993e+09 6.834999999999999964e-01 2.959599999999999795e+02
1.492194924610748053e+09 6.830000000000000515e-01 2.959599999999999795e+02
1.492194924709706068e+09 6.826999999999999735e-01 2.959599999999999795e+02
1.492194924809710979e+09 6.826999999999999735e-01 2.959700000000000273e+02
1.492194924909544945e+09 6.833000000000000185e-01 2.959599999999999795e+02
1.492194925023663044e+09 6.832000000000000295e-01 2.959599999999999795e+02
1.492194925122651100e+09 6.833000000000000185e-01 2.959700000000000273e+02
1.492194925221657991e+09 6.828999999999999515e-01 2.959700000000000273e+02
1.492194925321695089e+09 6.837999999999999634e-01 2.959700000000000273e+02
1.492194925421606064e+09 6.833000000000000185e-01 2.959700000000000273e+02
1.492194925520579100e+09 6.832000000000000295e-01 2.959700000000000273e+02
1.492194925621593952e+09 6.830000000000000515e-01 2.959700000000000273e+02
1.492194925720634937e+09 6.833000000000000185e-01 2.959700000000000273e+02
1.492194925834542990e+09 6.835999999999999854e-01 2.959700000000000273e+02
1.492194925934525967e+09 6.830000000000000515e-01 2.959700000000000273e+02
1.492194926033615112e+09 6.820000000000000506e-01 2.959700000000000273e+02
1.492194926133513927e+09 6.831000000000000405e-01 2.959700000000000273e+02
1.492194926233967066e+09 6.833000000000000185e-01 2.959700000000000273e+02
1.492194926332593918e+09 6.823000000000000176e-01 2.959700000000000273e+02
1.492194926432486057e+09 6.833000000000000185e-01 2.959700000000000273e+02
1.492194926532490969e+09 6.830000000000000515e-01 2.959700000000000273e+02
1.492194926646471977e+09 6.830000000000000515e-01 2.959700000000000273e+02
1.492194926745368958e+09 6.830000000000000515e-01 2.959700000000000273e+02
1.492194926845772028e+09 6.828999999999999515e-01 2.959800000000000182e+02
1.492194926944209099e+09 6.825999999999999845e-01 2.959800000000000182e+02
1.492194927044455051e+09 6.828999999999999515e-01 2.959800000000000182e+02
1.492194927144063950e+09 6.830000000000000515e-01 2.959700000000000273e+02
1.492194927244545937e+09 6.828999999999999515e-01 2.959800000000000182e+02
1.492194927343403101e+09 6.836999999999999744e-01 2.959800000000000182e+02
1.492194927457353115e+09 6.825999999999999845e-01 2.959800000000000182e+02
1.492194927557415009e+09 6.825999999999999845e-01 2.959800000000000182e+02
1.492194927656939030e+09 6.828999999999999515e-01 2.959800000000000182e+02
1.492194927756339073e+09 6.830000000000000515e-01 2.959800000000000182e+02
1.492194927856858015e+09 6.834000000000000075e-01 2.959800000000000182e+02
1.492194927956367016e+09 6.831000000000000405e-01 2.959800000000000182e+02
1.492194928055330992e+09 6.833000000000000185e-01 2.959800000000000182e+02
1.492194928155273914e+09 6.820000000000000506e-01 2.959800000000000182e+02
1.492194928269342899e+09 6.827999999999999625e-01 2.959800000000000182e+02
1.492194928368235111e+09 6.834999999999999964e-01 2.959800000000000182e+02
1.492194928468588114e+09 6.828999999999999515e-01 2.959800000000000182e+02
1.492194928568322897e+09 6.825999999999999845e-01 2.959800000000000182e+02
1.492194928667555094e+09 6.827999999999999625e-01 2.959800000000000182e+02
1.492194928766319990e+09 6.827999999999999625e-01 2.959800000000000182e+02
1.492194928867448092e+09 6.832000000000000295e-01 2.959800000000000182e+02
1.492194928966301918e+09 6.832000000000000295e-01 2.959800000000000182e+02
1.492194929079750061e+09 6.826999999999999735e-01 2.959900000000000091e+02
1.492194929180366993e+09 6.826999999999999735e-01 2.959900000000000091e+02
1.492194929280317068e+09 6.833000000000000185e-01 2.959900000000000091e+02
1.492194929379381895e+09 6.826999999999999735e-01 2.959900000000000091e+02
1.492194929479341030e+09 6.824999999999999956e-01 2.959900000000000091e+02
1.492194929579227924e+09 6.827999999999999625e-01 2.959900000000000091e+02
1.492194929677028894e+09 6.828999999999999515e-01 2.959900000000000091e+02
1.492194929778240919e+09 6.831000000000000405e-01 2.959900000000000091e+02
1.492194929892174959e+09 6.827999999999999625e-01 2.959900000000000091e+02
1.492194929990031958e+09 6.826999999999999735e-01 2.959900000000000091e+02
1.492194930091257095e+09 6.824999999999999956e-01 2.959900000000000091e+02
1.492194930191204071e+09 6.824999999999999956e-01 2.959900000000000091e+02
1.492194930290072918e+09 6.834000000000000075e-01 2.959900000000000091e+02
1.492194930390394926e+09 6.834999999999999964e-01 2.959900000000000091e+02
1.492194930490151882e+09 6.816999999999999726e-01 2.959900000000000091e+02
1.492194930589167118e+09 6.828999999999999515e-01 2.959900000000000091e+02
1.492194930703094959e+09 6.835999999999999854e-01 2.959900000000000091e+02
1.492194930803121090e+09 6.827999999999999625e-01 2.959900000000000091e+02
1.492194930903162956e+09 6.824999999999999956e-01 2.959900000000000091e+02
1.492194931001966000e+09 6.825999999999999845e-01 2.959900000000000091e+02
1.492194931102149010e+09 6.831000000000000405e-01 2.959900000000000091e+02
1.492194931202166080e+09 6.828999999999999515e-01 2.959900000000000091e+02
1.492194931301018953e+09 6.827999999999999625e-01 2.960000000000000000e+02
1.492194931401211977e+09 6.820000000000000506e-01 2.960000000000000000e+02
1.492194931515104055e+09 6.830000000000000515e-01 2.960000000000000000e+02
1.492194931614037037e+09 6.831000000000000405e-01 2.960000000000000000e+02
1.492194931713830948e+09 6.831000000000000405e-01 2.960000000000000000e+02
1.492194931814019918e+09 6.822000000000000286e-01 2.960000000000000000e+02
1.492194931912913084e+09 6.824000000000000066e-01 2.960000000000000000e+02
1.492194932011821985e+09 6.821000000000000396e-01 2.960000000000000000e+02
1.492194932113306999e+09 6.834000000000000075e-01 2.960000000000000000e+02
1.492194932211971998e+09 6.818999999999999506e-01 2.960000000000000000e+02
1.492194932325915098e+09 6.814999999999999947e-01 2.960000000000000000e+02
1.492194932426035881e+09 6.828999999999999515e-01 2.960000000000000000e+02
1.492194932525955915e+09 6.828999999999999515e-01 2.960000000000000000e+02
1.492194932623729944e+09 6.821000000000000396e-01 2.960000000000000000e+02
1.492194932725033998e+09 6.824000000000000066e-01 2.960000000000000000e+02
