# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: Nitrogen
1.492195494491153955e+09 7.923000000000000043e-01 2.950899999999999750e+02
1.492195494608988047e+09 7.916999999999999593e-01 2.950899999999999750e+02
1.492195494709036112e+09 7.925999999999999712e-01 2.950899999999999750e+02
1.492195494822973013e+09 7.919000000000000483e-01 2.950899999999999750e+02
1.492195494921857119e+09 7.921000000000000263e-01 2.951000000000000227e+02
1.492195495021821022e+09 7.927999999999999492e-01 2.951000000000000227e+02
1.492195495121757984e+09 7.919000000000000483e-01 2.951000000000000227e+02
1.492195495219914913e+09 7.921000000000000263e-01 2.951000000000000227e+02
1.492195495320611000e+09 7.922000000000000153e-01 2.951000000000000227e+02
1.492195495420725107e+09 7.927999999999999492e-01 2.951000000000000227e+02
1.492195495519885063e+09 7.927999999999999492e-01 2.951000000000000227e+02
1.492195495633306026e+09 7.926999999999999602e-01 2.951000000000000227e+02
1.492195495733069897e+09 7.910000000000000364e-01 2.951000000000000227e+02
1.492195495833990097e+09 7.923999999999999932e-01 2.951000000000000227e+02
1.492195495932533979e+09 7.929000000000000492e-01 2.951000000000000227e+02
1.492195496032216072e+09 7.922000000000000153e-01 2.951000000000000227e+02
1.492195496131799936e+09 7.915999999999999703e-01 2.951000000000000227e+02
1.492195496231784105e+09 7.927999999999999492e-01 2.951000000000000227e+02
1.492195496331516027e+09 7.927999999999999492e-01 2.951000000000000227e+02
1.492195496445784092e+09 7.920000000000000373e-01 2.951000000000000227e+02
1.492195496545646906e+09 7.922000000000000153e-01 2.951000000000000227e+02
1.492195496644681931e+09 7.913000000000000034e-01 2.951000000000000227e+02
1.492195496743906975e+09 7.924999999999999822e-01 2.951000000000000227e+02
1.492195496843661070e+09 7.911000000000000254e-01 2.951000000000000227e+02
1.492195496943816900e+09 7.915999999999999703e-01 2.951000000000000227e+02
1.492195497042732000e+09 7.922000000000000153e-01 2.951000000000000227e+02
1.492195497142772913e+09 7.920000000000000373e-01 2.951000000000000227e+02
1.492195497242646933e+09 7.927999999999999492e-01 2.951000000000000227e+02
1.492195497356125116e+09 7.915999999999999703e-01 2.951000000000000227e+02
1.492195497456688881e+09 7.924999999999999822e-01 2.951000000000000227e+02
1.492195497555721045e+09 7.915999999999999703e-01 2.951000000000000227e+02
1.492195497655666113e+09 7.926999999999999602e-01 2.951000000000000227e+02
1.492195497755358934e+09 7.920000000000000373e-01 2.951000000000000227e+02
