# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: nitrogen
1.492195594604279041e+09 7.934999999999999831e-01 2.950099999999999909e+02
1.492195594693928957e+09 7.944999999999999840e-01 2.950099999999999909e+02
1.492195594789494991e+09 7.943000000000000060e-01 2.950099999999999909e+02
1.492195594887590885e+09 7.947999999999999510e-01 2.950099999999999909e+02
1.492195594987405062e+09 7.935999999999999721e-01 2.950099999999999909e+02
1.492195595090903997e+09 7.935999999999999721e-01 2.950099999999999909e+02
1.492195595191205978e+09 7.943999999999999950e-01 2.950099999999999909e+02
1.492195595290307999e+09 7.936999999999999611e-01 2.950099999999999909e+02
1.492195595387099981e+09 7.944999999999999840e-01 2.950099999999999909e+02
1.492195595490329981e+09 7.944999999999999840e-01 2.950099999999999909e+02
1.492195595589420080e+09 7.937999999999999501e-01 2.950099999999999909e+02
1.492195595703301907e+09 7.940000000000000391e-01 2.950099999999999909e+02
1.492195595803394079e+09 7.937999999999999501e-01 2.950099999999999909e+02
1.492195595903366089e+09 7.947999999999999510e-01 2.950099999999999909e+02
1.492195596002305984e+09 7.937999999999999501e-01 2.950099999999999909e+02
1.492195596102196932e+09 7.942000000000000171e-01 2.950099999999999909e+02
1.492195596202263117e+09 7.939000000000000501e-01 2.950099999999999909e+02
1.492195596301542044e+09 7.941000000000000281e-01 2.950099999999999909e+02
1.492195596401159048e+09 7.945999999999999730e-01 2.950099999999999909e+02
1.492195596515084982e+09 7.932000000000000162e-01 2.950000000000000000e+02
1.492195596615263939e+09 7.941000000000000281e-01 2.950000000000000000e+02
1.492195596714139938e+09 7.933000000000000052e-01 2.950000000000000000e+02
1.492195596814273119e+09 7.945999999999999730e-01 2.950000000000000000e+02
1.492195596908622980e+09 7.941000000000000281e-01 2.950000000000000000e+02
1.492195597013506889e+09 7.937999999999999501e-01 2.950000000000000000e+02
1.492195597113219023e+09 7.943000000000000060e-01 2.950000000000000000e+02
1.492195597207813025e+09 7.934999999999999831e-01 2.950000000000000000e+02
1.492195597307434082e+09 7.940000000000000391e-01 2.950000000000000000e+02
1.492195597422842979e+09 7.939000000000000501e-01 2.950000000000000000e+02
1.492195597522237062e+09 7.949000000000000510e-01 2.950000000000000000e+02
1.492195597624033928e+09 7.935999999999999721e-01 2.950000000000000000e+02
1.492195597723109007e+09 7.940000000000000391e-01 2.950000000000000000e+02
1.492195597822874069e+09 7.939000000000000501e-01 2.950000000000000000e+02
1.492195597920890093e+09 7.940000000000000391e-01 2.950000000000000000e+02
1.492195598022416115e+09 7.947999999999999510e-01 2.950000000000000000e+02
1.492195598122174978e+09 7.941000000000000281e-01 2.950000000000000000e+02
1.492195598221947908e+09 7.943000000000000060e-01 2.950000000000000000e+02
1.492195598337146044e+09 7.935999999999999721e-01 2.950000000000000000e+02
1.492195598437268972e+09 7.943999999999999950e-01 2.950000000000000000e+02
1.492195598536170959e+09 7.947999999999999510e-01 2.950000000000000000e+02
