# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 13 V, nitrogen
1.492196143153486013e+09 9.465000000000000080e-01 2.933500000000000227e+02
1.492196143280818939e+09 9.467999999999999750e-01 2.933600000000000136e+02
1.492196143379405975e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196143480981112e+09 9.465999999999999970e-01 2.933500000000000227e+02
1.492196143575246096e+09 9.474000000000000199e-01 2.933600000000000136e+02
1.492196143679861069e+09 9.467999999999999750e-01 2.933600000000000136e+02
1.492196143778805971e+09 9.471000000000000529e-01 2.933600000000000136e+02
1.492196143878782988e+09 9.468999999999999639e-01 2.933600000000000136e+02
1.492196143978764057e+09 9.468999999999999639e-01 2.933600000000000136e+02
1.492196144077860117e+09 9.462000000000000410e-01 2.933600000000000136e+02
1.492196144191781998e+09 9.474000000000000199e-01 2.933600000000000136e+02
1.492196144291683912e+09 9.473000000000000309e-01 2.933600000000000136e+02
1.492196144390800953e+09 9.467999999999999750e-01 2.933600000000000136e+02
1.492196144490684986e+09 9.462000000000000410e-01 2.933600000000000136e+02
1.492196144590742111e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196144685085058e+09 9.469999999999999529e-01 2.933600000000000136e+02
1.492196144784848928e+09 9.472000000000000419e-01 2.933600000000000136e+02
1.492196144889681101e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196145001002073e+09 9.465000000000000080e-01 2.933600000000000136e+02
1.492196145100775003e+09 9.466999999999999860e-01 2.933600000000000136e+02
1.492196145199219942e+09 9.467999999999999750e-01 2.933600000000000136e+02
1.492196145300297022e+09 9.464000000000000190e-01 2.933600000000000136e+02
1.492196145396877050e+09 9.468999999999999639e-01 2.933600000000000136e+02
1.492196145499825001e+09 9.459999999999999520e-01 2.933600000000000136e+02
1.492196145599591017e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196145699358940e+09 9.465000000000000080e-01 2.933600000000000136e+02
1.492196145814726114e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196145912905931e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196146014657974e+09 9.465000000000000080e-01 2.933600000000000136e+02
1.492196146111924887e+09 9.475999999999999979e-01 2.933600000000000136e+02
1.492196146213604927e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196146312633991e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196146409363985e+09 9.469999999999999529e-01 2.933600000000000136e+02
1.492196146512722015e+09 9.473000000000000309e-01 2.933600000000000136e+02
1.492196146626682997e+09 9.468999999999999639e-01 2.933600000000000136e+02
1.492196146722371101e+09 9.469999999999999529e-01 2.933600000000000136e+02
1.492196146821649075e+09 9.468999999999999639e-01 2.933600000000000136e+02
1.492196146921051025e+09 9.473000000000000309e-01 2.933600000000000136e+02
1.492196147021670103e+09 9.462000000000000410e-01 2.933600000000000136e+02
1.492196147124588013e+09 9.465999999999999970e-01 2.933600000000000136e+02
1.492196147224602938e+09 9.469999999999999529e-01 2.933600000000000136e+02
1.492196147319514990e+09 9.463000000000000300e-01 2.933600000000000136e+02
1.492196147437532902e+09 9.464000000000000190e-01 2.933600000000000136e+02
1.492196147537589073e+09 9.475000000000000089e-01 2.933600000000000136e+02
1.492196147633449078e+09 9.464000000000000190e-01 2.933600000000000136e+02
1.492196147736799955e+09 9.458999999999999631e-01 2.933600000000000136e+02
1.492196147836491108e+09 9.465000000000000080e-01 2.933600000000000136e+02
1.492196147936548948e+09 9.463000000000000300e-01 2.933600000000000136e+02
1.492196148032742977e+09 9.466999999999999860e-01 2.933600000000000136e+02
1.492196148135305882e+09 9.463000000000000300e-01 2.933600000000000136e+02
1.492196148249372005e+09 9.464000000000000190e-01 2.933600000000000136e+02
1.492196148345480919e+09 9.461000000000000520e-01 2.933700000000000045e+02
1.492196148448555946e+09 9.459999999999999520e-01 2.933600000000000136e+02
1.492196148548502922e+09 9.464000000000000190e-01 2.933600000000000136e+02
1.492196148648353100e+09 9.466999999999999860e-01 2.933600000000000136e+02
1.492196148747648001e+09 9.467999999999999750e-01 2.933600000000000136e+02
1.492196148847431898e+09 9.467999999999999750e-01 2.933600000000000136e+02
1.492196148947287083e+09 9.464000000000000190e-01 2.933600000000000136e+02
1.492196149060559988e+09 9.467999999999999750e-01 2.933600000000000136e+02
1.492196149157759905e+09 9.468999999999999639e-01 2.933600000000000136e+02
1.492196149257514954e+09 9.475999999999999979e-01 2.933600000000000136e+02
1.492196149355067968e+09 9.456999999999999851e-01 2.933600000000000136e+02
1.492196149455789089e+09 9.469999999999999529e-01 2.933700000000000045e+02
1.492196149556808949e+09 9.466999999999999860e-01 2.933700000000000045e+02
1.492196149656586885e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196149757519960e+09 9.463000000000000300e-01 2.933700000000000045e+02
1.492196149872417927e+09 9.467999999999999750e-01 2.933700000000000045e+02
1.492196149972348928e+09 9.474000000000000199e-01 2.933700000000000045e+02
1.492196150070595980e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196150171185970e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196150271276951e+09 9.461000000000000520e-01 2.933700000000000045e+02
1.492196150366252899e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196150470407009e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196150570219040e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196150679410934e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196150783191919e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196150883353949e+09 9.468999999999999639e-01 2.933700000000000045e+02
1.492196150982193947e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196151078228951e+09 9.472000000000000419e-01 2.933700000000000045e+02
1.492196151182475090e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196151281358957e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196151381241083e+09 9.471000000000000529e-01 2.933700000000000045e+02
1.492196151495122910e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196151595220089e+09 9.466999999999999860e-01 2.933700000000000045e+02
1.492196151690568924e+09 9.472000000000000419e-01 2.933700000000000045e+02
1.492196151794450045e+09 9.467999999999999750e-01 2.933700000000000045e+02
1.492196151894210100e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196151993323088e+09 9.458999999999999631e-01 2.933700000000000045e+02
1.492196152089896917e+09 9.478999999999999648e-01 2.933700000000000045e+02
1.492196152193339109e+09 9.475000000000000089e-01 2.933700000000000045e+02
1.492196152306025982e+09 9.471000000000000529e-01 2.933700000000000045e+02
1.492196152403847933e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196152503928900e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196152605046034e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196152704977989e+09 9.472000000000000419e-01 2.933700000000000045e+02
1.492196152801358938e+09 9.473000000000000309e-01 2.933700000000000045e+02
1.492196152904036999e+09 9.461000000000000520e-01 2.933700000000000045e+02
1.492196153004054070e+09 9.463000000000000300e-01 2.933700000000000045e+02
1.492196153113938093e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196153218324900e+09 9.461000000000000520e-01 2.933700000000000045e+02
1.492196153314515114e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196153412009954e+09 9.467999999999999750e-01 2.933700000000000045e+02
1.492196153515328884e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196153613804102e+09 9.468999999999999639e-01 2.933700000000000045e+02
1.492196153713566065e+09 9.466999999999999860e-01 2.933700000000000045e+02
1.492196153813524961e+09 9.467999999999999750e-01 2.933700000000000045e+02
1.492196153929672956e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196154028995037e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196154126327038e+09 9.458999999999999631e-01 2.933700000000000045e+02
1.492196154229183912e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196154327954054e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196154427997112e+09 9.468999999999999639e-01 2.933700000000000045e+02
1.492196154523983955e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196154626946926e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196154741014957e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196154838567972e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196154939944029e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196155040020943e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196155135627985e+09 9.462000000000000410e-01 2.933700000000000045e+02
1.492196155239202023e+09 9.472000000000000419e-01 2.933700000000000045e+02
1.492196155338931084e+09 9.466999999999999860e-01 2.933700000000000045e+02
1.492196155438844919e+09 9.471000000000000529e-01 2.933700000000000045e+02
1.492196155552838087e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196155652044058e+09 9.457999999999999741e-01 2.933700000000000045e+02
1.492196155751826048e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196155848184109e+09 9.463000000000000300e-01 2.933700000000000045e+02
1.492196155950858116e+09 9.458999999999999631e-01 2.933700000000000045e+02
1.492196156050826073e+09 9.474000000000000199e-01 2.933700000000000045e+02
1.492196156150722980e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196156246330023e+09 9.459999999999999520e-01 2.933700000000000045e+02
1.492196156363759995e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196156463795900e+09 9.457999999999999741e-01 2.933700000000000045e+02
1.492196156560115099e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196156662838936e+09 9.465999999999999970e-01 2.933700000000000045e+02
1.492196156762861967e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196156856432915e+09 9.466999999999999860e-01 2.933700000000000045e+02
1.492196156961323977e+09 9.465000000000000080e-01 2.933700000000000045e+02
1.492196157061635971e+09 9.466999999999999860e-01 2.933700000000000045e+02
1.492196157171248913e+09 9.468999999999999639e-01 2.933700000000000045e+02
1.492196157271754026e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196157371589899e+09 9.458999999999999631e-01 2.933700000000000045e+02
1.492196157469775915e+09 9.464000000000000190e-01 2.933700000000000045e+02
1.492196157571008921e+09 9.471000000000000529e-01 2.933700000000000045e+02
