# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 40
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 13 V
1.492196589878642082e+09 7.976999999999999647e-01 2.935699999999999932e+02
1.492196589980720997e+09 7.973999999999999977e-01 2.935699999999999932e+02
1.492196590080244064e+09 7.991000000000000325e-01 2.935699999999999932e+02
1.492196590193495989e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196590293939114e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196590392775059e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196590493988991e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196590593939066e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196590692886114e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196590792803049e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196590887469053e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196590987159014e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196591103527069e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196591203290939e+09 7.984999999999999876e-01 2.935699999999999932e+02
1.492196591303014040e+09 7.973999999999999977e-01 2.935699999999999932e+02
1.492196591402786016e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196591499886036e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196591602310896e+09 7.980000000000000426e-01 2.935699999999999932e+02
1.492196591702071905e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196591801848888e+09 7.994999999999999885e-01 2.935699999999999932e+02
1.492196591901602030e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196592016660929e+09 7.977999999999999536e-01 2.935699999999999932e+02
1.492196592114250898e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196592214611053e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196592315912008e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196592415877104e+09 7.977999999999999536e-01 2.935699999999999932e+02
1.492196592510145903e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196592611709118e+09 7.993999999999999995e-01 2.935699999999999932e+02
1.492196592714816093e+09 7.980000000000000426e-01 2.935699999999999932e+02
1.492196592813957930e+09 7.986999999999999655e-01 2.935699999999999932e+02
1.492196592928031921e+09 7.977999999999999536e-01 2.935699999999999932e+02
1.492196593027796984e+09 7.984999999999999876e-01 2.935699999999999932e+02
1.492196593127690077e+09 7.989000000000000545e-01 2.935699999999999932e+02
1.492196593222131968e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196593322979927e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196593425596952e+09 7.987999999999999545e-01 2.935699999999999932e+02
1.492196593525660038e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196593624824047e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196593739694118e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196593834984064e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196593938890934e+09 7.976999999999999647e-01 2.935699999999999932e+02
1.492196594038671017e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196594138587952e+09 7.980000000000000426e-01 2.935699999999999932e+02
1.492196594234510899e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196594337486029e+09 7.980000000000000426e-01 2.935699999999999932e+02
1.492196594437568903e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196594548120022e+09 7.980000000000000426e-01 2.935699999999999932e+02
1.492196594650615931e+09 7.977999999999999536e-01 2.935699999999999932e+02
1.492196594750473976e+09 7.984999999999999876e-01 2.935699999999999932e+02
1.492196594844609976e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196594949815035e+09 7.977999999999999536e-01 2.935699999999999932e+02
1.492196595049777985e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196595144164085e+09 7.974999999999999867e-01 2.935699999999999932e+02
1.492196595245930910e+09 7.984999999999999876e-01 2.935699999999999932e+02
1.492196595360002995e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196595459656000e+09 7.990000000000000435e-01 2.935699999999999932e+02
1.492196595559420109e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196595659327984e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196595759061098e+09 7.984999999999999876e-01 2.935699999999999932e+02
1.492196595855760098e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196595959801912e+09 7.974999999999999867e-01 2.935699999999999932e+02
1.492196596058352947e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196596169368982e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196596273694038e+09 7.976999999999999647e-01 2.935699999999999932e+02
1.492196596373517036e+09 7.984999999999999876e-01 2.935699999999999932e+02
1.492196596473462105e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196596570183039e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196596672545910e+09 7.980000000000000426e-01 2.935699999999999932e+02
1.492196596771296978e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196596867624044e+09 7.986999999999999655e-01 2.935699999999999932e+02
1.492196596985462904e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196597085498095e+09 7.983000000000000096e-01 2.935699999999999932e+02
1.492196597180416107e+09 7.990000000000000435e-01 2.935699999999999932e+02
1.492196597284342051e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196597384366989e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196597479068041e+09 7.982000000000000206e-01 2.935699999999999932e+02
1.492196597583352089e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196597683314085e+09 7.974999999999999867e-01 2.935699999999999932e+02
1.492196597791728973e+09 7.981000000000000316e-01 2.935699999999999932e+02
1.492196597896222115e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196597996467113e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196598096489906e+09 7.973000000000000087e-01 2.935699999999999932e+02
1.492196598192735910e+09 7.976999999999999647e-01 2.935699999999999932e+02
1.492196598295258999e+09 7.977999999999999536e-01 2.935699999999999932e+02
1.492196598394246101e+09 7.985999999999999766e-01 2.935699999999999932e+02
1.492196598491343021e+09 7.984999999999999876e-01 2.935699999999999932e+02
1.492196598608418941e+09 7.976999999999999647e-01 2.935699999999999932e+02
1.492196598708307981e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196598803108931e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196598907466888e+09 7.986999999999999655e-01 2.935699999999999932e+02
1.492196599007239103e+09 7.973999999999999977e-01 2.935699999999999932e+02
1.492196599101020098e+09 7.980000000000000426e-01 2.935699999999999932e+02
1.492196599204473972e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196599306119919e+09 7.987999999999999545e-01 2.935699999999999932e+02
1.492196599413975954e+09 7.983999999999999986e-01 2.935699999999999932e+02
1.492196599517935991e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196599616522074e+09 7.984999999999999876e-01 2.935600000000000023e+02
1.492196599716213942e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196599813138962e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196599917109013e+09 7.989000000000000545e-01 2.935699999999999932e+02
1.492196600015583992e+09 7.977999999999999536e-01 2.935699999999999932e+02
1.492196600115344048e+09 7.979000000000000536e-01 2.935699999999999932e+02
1.492196600231297016e+09 7.987999999999999545e-01 2.935600000000000023e+02
1.492196600330945969e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196600430243969e+09 7.973999999999999977e-01 2.935600000000000023e+02
1.492196600525897980e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196600630237103e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196600729060888e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196600829124928e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196600926259041e+09 7.982000000000000206e-01 2.935600000000000023e+02
1.492196601042983055e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196601142148018e+09 7.983000000000000096e-01 2.935600000000000023e+02
1.492196601239445925e+09 7.985999999999999766e-01 2.935600000000000023e+02
1.492196601341972113e+09 7.983000000000000096e-01 2.935600000000000023e+02
1.492196601441092014e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196601540968895e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196601637572050e+09 7.973999999999999977e-01 2.935600000000000023e+02
1.492196601738070011e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196601853837013e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196601951030016e+09 7.982000000000000206e-01 2.935600000000000023e+02
1.492196602052889109e+09 7.985999999999999766e-01 2.935600000000000023e+02
1.492196602152966976e+09 7.983000000000000096e-01 2.935600000000000023e+02
1.492196602252931118e+09 7.973000000000000087e-01 2.935600000000000023e+02
1.492196602351246119e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196602451968908e+09 7.983000000000000096e-01 2.935600000000000023e+02
1.492196602552035093e+09 7.982000000000000206e-01 2.935600000000000023e+02
1.492196602665354967e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196602764975071e+09 7.990000000000000435e-01 2.935600000000000023e+02
1.492196602864800930e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196602961680889e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196603063884974e+09 7.982000000000000206e-01 2.935600000000000023e+02
1.492196603163748026e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196603263811111e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196603360186100e+09 7.987999999999999545e-01 2.935600000000000023e+02
1.492196603473984003e+09 7.975999999999999757e-01 2.935600000000000023e+02
1.492196603571734905e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196603673513889e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196603773281097e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196603873039961e+09 7.987999999999999545e-01 2.935600000000000023e+02
1.492196603971867085e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196604075062990e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196604172370911e+09 7.975999999999999757e-01 2.935600000000000023e+02
1.492196604285024881e+09 7.973999999999999977e-01 2.935600000000000023e+02
1.492196604387844086e+09 7.973999999999999977e-01 2.935600000000000023e+02
1.492196604487826109e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196604582906961e+09 7.985999999999999766e-01 2.935600000000000023e+02
1.492196604686984062e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196604786740065e+09 7.985999999999999766e-01 2.935600000000000023e+02
1.492196604886972904e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196604982016087e+09 7.985999999999999766e-01 2.935600000000000023e+02
1.492196605099703074e+09 7.982000000000000206e-01 2.935600000000000023e+02
1.492196605199659109e+09 7.987999999999999545e-01 2.935600000000000023e+02
1.492196605296292067e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196605398735046e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196605498635054e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196605593600035e+09 7.982000000000000206e-01 2.935600000000000023e+02
1.492196605697766066e+09 7.984999999999999876e-01 2.935600000000000023e+02
1.492196605797710896e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196605911632061e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196606010471106e+09 7.983999999999999986e-01 2.935600000000000023e+02
1.492196606110549927e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196606210597038e+09 7.986999999999999655e-01 2.935600000000000023e+02
1.492196606307207108e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196606409517050e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196606509569883e+09 7.982000000000000206e-01 2.935600000000000023e+02
1.492196606608736038e+09 7.979000000000000536e-01 2.935600000000000023e+02
1.492196606722810984e+09 7.980000000000000426e-01 2.935600000000000023e+02
1.492196606822602987e+09 7.981000000000000316e-01 2.935600000000000023e+02
1.492196606921451092e+09 7.977999999999999536e-01 2.935600000000000023e+02
1.492196607016711950e+09 7.976999999999999647e-01 2.935600000000000023e+02
1.492196607121095896e+09 7.980000000000000426e-01 2.935500000000000114e+02
1.492196607220576048e+09 7.983999999999999986e-01 2.935500000000000114e+02
1.492196607320512056e+09 7.982000000000000206e-01 2.935500000000000114e+02
1.492196607417990923e+09 7.980000000000000426e-01 2.935500000000000114e+02
1.492196607530981064e+09 7.976999999999999647e-01 2.935500000000000114e+02
1.492196607630667925e+09 7.982000000000000206e-01 2.935500000000000114e+02
1.492196607732713938e+09 7.979000000000000536e-01 2.935500000000000114e+02
1.492196607830270052e+09 7.981000000000000316e-01 2.935500000000000114e+02
1.492196607930038929e+09 7.976999999999999647e-01 2.935500000000000114e+02
1.492196608028913021e+09 7.981000000000000316e-01 2.935500000000000114e+02
1.492196608129564047e+09 7.983000000000000096e-01 2.935500000000000114e+02
1.492196608229337931e+09 7.986999999999999655e-01 2.935500000000000114e+02
1.492196608341733932e+09 7.987999999999999545e-01 2.935500000000000114e+02
1.492196608445707083e+09 7.979000000000000536e-01 2.935500000000000114e+02
1.492196608545270920e+09 7.987999999999999545e-01 2.935500000000000114e+02
1.492196608639599085e+09 7.983000000000000096e-01 2.935500000000000114e+02
1.492196608740467072e+09 7.984999999999999876e-01 2.935500000000000114e+02
1.492196608843771935e+09 7.981000000000000316e-01 2.935500000000000114e+02
1.492196608943368912e+09 7.990000000000000435e-01 2.935500000000000114e+02
1.492196609043382883e+09 7.983999999999999986e-01 2.935500000000000114e+02
1.492196609157732010e+09 7.981000000000000316e-01 2.935500000000000114e+02
1.492196609257251978e+09 7.975999999999999757e-01 2.935500000000000114e+02
1.492196609356137991e+09 7.983000000000000096e-01 2.935500000000000114e+02
1.492196609453023911e+09 7.989000000000000545e-01 2.935500000000000114e+02
1.492196609554332018e+09 7.985999999999999766e-01 2.935500000000000114e+02
1.492196609655364037e+09 7.989000000000000545e-01 2.935500000000000114e+02
1.492196609750318050e+09 7.983999999999999986e-01 2.935500000000000114e+02
1.492196609854748964e+09 7.983999999999999986e-01 2.935500000000000114e+02
1.492196609968307972e+09 7.986999999999999655e-01 2.935500000000000114e+02
1.492196610065006018e+09 7.979000000000000536e-01 2.935500000000000114e+02
1.492196610168314934e+09 7.987999999999999545e-01 2.935500000000000114e+02
1.492196610267491102e+09 7.983000000000000096e-01 2.935500000000000114e+02
1.492196610362000942e+09 7.983000000000000096e-01 2.935500000000000114e+02
1.492196610466315031e+09 7.979000000000000536e-01 2.935500000000000114e+02
1.492196610566303015e+09 7.980000000000000426e-01 2.935500000000000114e+02
1.492196610666286945e+09 7.982000000000000206e-01 2.935500000000000114e+02
1.492196610780299902e+09 7.986999999999999655e-01 2.935500000000000114e+02
1.492196610880184889e+09 7.983999999999999986e-01 2.935500000000000114e+02
1.492196610979178905e+09 7.980000000000000426e-01 2.935500000000000114e+02
1.492196611076349974e+09 7.983999999999999986e-01 2.935500000000000114e+02
1.492196611179114103e+09 7.987999999999999545e-01 2.935500000000000114e+02
1.492196611278136969e+09 7.985999999999999766e-01 2.935500000000000114e+02
1.492196611373020887e+09 7.983999999999999986e-01 2.935500000000000114e+02
1.492196611477452993e+09 7.986999999999999655e-01 2.935500000000000114e+02
1.492196611587975979e+09 7.983000000000000096e-01 2.935500000000000114e+02
1.492196611687364101e+09 7.982000000000000206e-01 2.935500000000000114e+02
1.492196611791224957e+09 7.975999999999999757e-01 2.935500000000000114e+02
