# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 0
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: 13 V
1.492196926696624994e+09 1.426999999999999935e-01 2.942799999999999727e+02
1.492196926802738905e+09 1.426999999999999935e-01 2.942799999999999727e+02
1.492196926901529074e+09 1.426999999999999935e-01 2.942799999999999727e+02
1.492196927002161026e+09 1.428999999999999992e-01 2.942799999999999727e+02
1.492196927102026939e+09 1.426999999999999935e-01 2.942799999999999727e+02
1.492196927201704979e+09 1.426999999999999935e-01 2.942900000000000205e+02
1.492196927301588058e+09 1.426999999999999935e-01 2.942900000000000205e+02
1.492196927401335001e+09 1.428000000000000103e-01 2.942900000000000205e+02
1.492196927517714977e+09 1.429999999999999882e-01 2.942900000000000205e+02
1.492196927617480040e+09 1.428999999999999992e-01 2.942900000000000205e+02
1.492196927717240095e+09 1.428999999999999992e-01 2.942900000000000205e+02
1.492196927817009926e+09 1.429999999999999882e-01 2.942900000000000205e+02
1.492196927916783094e+09 1.428999999999999992e-01 2.942900000000000205e+02
1.492196928016544104e+09 1.431000000000000050e-01 2.942900000000000205e+02
1.492196928116350889e+09 1.429999999999999882e-01 2.942900000000000205e+02
1.492196928216021061e+09 1.428999999999999992e-01 2.943000000000000114e+02
1.492196928330477953e+09 1.428000000000000103e-01 2.943000000000000114e+02
1.492196928430325031e+09 1.428999999999999992e-01 2.943000000000000114e+02
1.492196928529375076e+09 1.426999999999999935e-01 2.943000000000000114e+02
1.492196928629359007e+09 1.426999999999999935e-01 2.943000000000000114e+02
1.492196928729408026e+09 1.428000000000000103e-01 2.943000000000000114e+02
1.492196928828380108e+09 1.428000000000000103e-01 2.943000000000000114e+02
1.492196928926246881e+09 1.428999999999999992e-01 2.943000000000000114e+02
1.492196929028354883e+09 1.428000000000000103e-01 2.943000000000000114e+02
1.492196929127614021e+09 1.426000000000000045e-01 2.943000000000000114e+02
1.492196929238600016e+09 1.426999999999999935e-01 2.943100000000000023e+02
1.492196929341597080e+09 1.426000000000000045e-01 2.943100000000000023e+02
1.492196929441376925e+09 1.426999999999999935e-01 2.943100000000000023e+02
1.492196929540397882e+09 1.426999999999999935e-01 2.943100000000000023e+02
1.492196929637814999e+09 1.426999999999999935e-01 2.943100000000000023e+02
1.492196929740442038e+09 1.428000000000000103e-01 2.943100000000000023e+02
1.492196929839385986e+09 1.426000000000000045e-01 2.943100000000000023e+02
1.492196929934367895e+09 1.428999999999999992e-01 2.943100000000000023e+02
1.492196930053360939e+09 1.428000000000000103e-01 2.943100000000000023e+02
1.492196930152317047e+09 1.428000000000000103e-01 2.943100000000000023e+02
1.492196930247879982e+09 1.428999999999999992e-01 2.943100000000000023e+02
1.492196930352269888e+09 1.428999999999999992e-01 2.943100000000000023e+02
1.492196930451168060e+09 1.428999999999999992e-01 2.943100000000000023e+02
1.492196930551217079e+09 1.429999999999999882e-01 2.943199999999999932e+02
1.492196930648931026e+09 1.428000000000000103e-01 2.943199999999999932e+02
1.492196930750230074e+09 1.428999999999999992e-01 2.943199999999999932e+02
1.492196930859601021e+09 1.428000000000000103e-01 2.943199999999999932e+02
1.492196930962953091e+09 1.428999999999999992e-01 2.943199999999999932e+02
1.492196931064479113e+09 1.428999999999999992e-01 2.943199999999999932e+02
1.492196931159020901e+09 1.428999999999999992e-01 2.943199999999999932e+02
1.492196931258665085e+09 1.428999999999999992e-01 2.943199999999999932e+02
1.492196931358550072e+09 1.428999999999999992e-01 2.943199999999999932e+02
1.492196931459379911e+09 1.428000000000000103e-01 2.943199999999999932e+02
1.492196931557990074e+09 1.424999999999999878e-01 2.943199999999999932e+02
1.492196931674470901e+09 1.424999999999999878e-01 2.943199999999999932e+02
1.492196931774228096e+09 1.426999999999999935e-01 2.943299999999999841e+02
1.492196931870438099e+09 1.426000000000000045e-01 2.943299999999999841e+02
1.492196931973933935e+09 1.424999999999999878e-01 2.943299999999999841e+02
1.492196932073477983e+09 1.426000000000000045e-01 2.943299999999999841e+02
1.492196932173248053e+09 1.426000000000000045e-01 2.943299999999999841e+02
1.492196932271434069e+09 1.426000000000000045e-01 2.943299999999999841e+02
1.492196932372769117e+09 1.426000000000000045e-01 2.943299999999999841e+02
1.492196932487098932e+09 1.426999999999999935e-01 2.943299999999999841e+02
1.492196932586754084e+09 1.426999999999999935e-01 2.943299999999999841e+02
1.492196932687197924e+09 1.428000000000000103e-01 2.943299999999999841e+02
